,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
839,47.33032139,0.01362657,0.01362621,0.00057581,0.00057579,1.58007812,1.58007812,1.67480469,1.67480469,0.00262202,0.00262200,702.50000000,702.50000000,1750.58271878,1750.56741818,1300.31026648,1300.30517452,84.11076864,84.11076864,109.58664121,109.58649348
840,47.34575416,0.01429418,0.01427626,0.00060382,0.00060306,1.58007812,1.58007812,1.67480469,1.67480469,0.00274970,0.00274630,705.50000000,705.50000000,1836.94835427,1834.67758425,1300.98323272,1300.97813752,84.46996053,84.46996053,109.91304622,109.91289839
841,47.37500547,0.01187008,0.01187357,0.00050111,0.00050126,1.58105469,1.58105469,1.67578125,1.67578125,0.00228216,0.00228287,705.50000000,705.50000000,1526.36962095,1526.84551665,1301.68902591,1301.68306123,84.46996053,84.46996053,109.96059207,109.96041875
842,47.38608426,0.03030902,0.03033614,0.00127924,0.00128038,1.58105469,1.58105469,1.67578125,1.67578125,0.00582608,0.00583140,708.00000000,708.00000000,3898.33872628,3901.89403287,1302.27519741,1302.26941813,84.76928711,84.76928711,110.23324528,110.23307735
843,47.39670376,0.00833502,0.00831323,0.00035171,0.00035079,1.58300781,1.58300781,1.67773438,1.67773438,0.00160187,0.00159771,711.00000000,711.00000000,1072.28840001,1069.50353978,1303.77107980,1303.76667063,85.20080566,85.20080566,110.70587370,110.70574526
844,47.47006174,0.00664887,0.00662237,0.00028013,0.00027901,1.58300781,1.58300781,1.67773438,1.67773438,0.00127609,0.00127103,713.50000000,713.50000000,856.69131026,853.29169547,1304.18224069,1304.17676523,85.50038656,85.50038656,110.97356848,110.97340898
845,47.50299601,0.01101527,0.01102610,0.00046377,0.00046423,1.58300781,1.58300781,1.67773438,1.67773438,0.00211285,0.00211496,713.50000000,713.50000000,1420.27660897,1421.69713272,1304.51063937,1304.50386227,85.50038656,85.50038656,110.98313499,110.98293757
846,47.52076419,0.02714180,0.02714317,0.00114231,0.00114237,1.58398438,1.58398438,1.67871094,1.67871094,0.00520439,0.00520475,716.50000000,716.50000000,3500.89313926,3501.13031775,1305.05489725,1305.04866722,85.85988363,85.85988363,111.33257697,111.33239520
847,47.53055662,0.01264908,0.01265031,0.00053225,0.00053230,1.58496094,1.58496094,1.67968750,1.67968750,0.00242500,0.00242528,719.00000000,719.00000000,1631.88136292,1632.06894367,1306.39549065,1306.38935778,86.15946452,86.15946452,111.62878630,111.62860735
848,47.53579361,0.01427803,0.01427296,0.00060073,0.00060051,1.58496094,1.58496094,1.68066406,1.68066406,0.00273703,0.00273611,722.00000000,722.00000000,1842.23852267,1841.61633430,1307.01991543,1307.01385726,86.51896159,86.51896159,111.95372318,111.95354641
849,47.54091619,0.00991432,0.00994567,0.00041709,0.00041840,1.58593750,1.58593750,1.68066406,1.68066406,0.00190035,0.00190639,722.00000000,722.00000000,1279.34394496,1283.41194305,1307.72447322,1307.71818042,86.59240723,86.59240723,112.09593803,112.09575397
850,47.56617952,0.01140017,0.01142991,0.00047934,0.00048059,1.58593750,1.58593750,1.68164062,1.68164062,0.00218415,0.00218988,725.00000000,725.00000000,1471.86007216,1475.72476980,1308.21353066,1308.20879501,86.95220947,86.95220947,112.41708350,112.41694499
851,47.57562138,0.00792248,0.00794371,0.00033305,0.00033394,1.58691406,1.58691406,1.68164062,1.68164062,0.00151760,0.00152169,725.00000000,725.00000000,1023.06367260,1025.82200237,1308.77595557,1308.77269841,87.09971110,87.09971110,112.63754009,112.63744459
852,47.60541349,0.02481970,0.02479764,0.00104273,0.00104180,1.58691406,1.58691406,1.68164062,1.68164062,0.00475177,0.00474763,727.50000000,727.50000000,3207.07856325,3204.28441419,1309.16674475,1309.16454203,87.40005493,87.40005493,112.90507632,112.90501173
853,47.77041071,0.01643079,0.01639333,0.00068791,0.00068634,1.58789062,1.58789062,1.68359375,1.68261719,0.00313623,0.00312914,730.50000000,730.50000000,2130.46412778,2125.64380802,1310.39102718,1310.38776037,87.76046753,87.76046753,113.26289650,113.26280063
854,47.79645851,0.02774685,0.02773980,0.00116104,0.00116075,1.58886719,1.58886719,1.68359375,1.68359375,0.00529368,0.00529243,733.50000000,733.50000000,3599.69858577,3598.84658059,1311.20368679,1311.19858387,88.12088013,88.12088013,113.62022715,113.62007716
855,47.89339013,0.03041247,0.03042371,0.00127001,0.00127048,1.58984375,1.58984375,1.68457031,1.68457031,0.00579201,0.00579425,736.00000000,736.00000000,3953.52153957,3955.05091214,1312.57563852,1312.57021638,88.49609375,88.49609375,114.01432146,114.01416195
856,47.90694717,0.01275004,0.01273712,0.00053228,0.00053174,1.59179688,1.59179688,1.68652344,1.68652344,0.00242763,0.00242521,742.00000000,742.00000000,1657.93253780,1656.28165903,1314.08079218,1314.07595816,89.36848958,89.36848958,115.00870852,115.00856561
857,47.99520006,0.02502452,0.02502357,0.00104279,0.00104275,1.59179688,1.59179688,1.68652344,1.68652344,0.00475708,0.00475698,742.00000000,742.00000000,3260.02122892,3259.95375647,1314.71147440,1314.70601485,89.36848958,89.36848958,115.02735382,115.02719242
858,48.05323205,0.01503301,0.01502083,0.00062568,0.00062517,1.59277344,1.59277344,1.68750000,1.68750000,0.00285472,0.00285246,745.00000000,745.00000000,1960.76420004,1959.20940198,1315.95071418,1315.94523413,89.72981771,89.72981771,115.38629081,115.38612866
859,48.06651884,0.01870299,0.01868418,0.00077821,0.00077743,1.59375000,1.59375000,1.68847656,1.68847656,0.00355078,0.00354727,748.00000000,748.00000000,2440.11552826,2437.70490257,1316.69550251,1316.68943515,90.24332682,90.24332682,115.92461794,115.92443797
860,48.10163231,0.02081303,0.02082059,0.00086538,0.00086569,1.59472656,1.59472656,1.68945312,1.68945312,0.00394886,0.00395037,751.00000000,751.00000000,2717.38975403,2718.42435665,1317.62178256,1317.61480469,90.68166097,90.68166097,116.37269530,116.37248797
861,48.13716986,0.01483471,0.01482079,0.00061635,0.00061577,1.59472656,1.59472656,1.69042969,1.69042969,0.00281279,0.00281020,753.50000000,753.50000000,1938.27903744,1936.49487754,1318.65255152,1318.64597141,90.98353068,90.98353068,116.66039084,116.66019533
862,48.14481375,0.01378799,0.01379843,0.00057277,0.00057321,1.59570312,1.59570312,1.69042969,1.69042969,0.00261396,0.00261598,756.50000000,756.50000000,1801.80332034,1803.19907991,1319.38729365,1319.38004107,91.34577433,91.34577433,117.01639515,117.01617933
863,48.23038743,0.01358748,0.01362068,0.00056344,0.00056482,1.59667969,1.59667969,1.69140625,1.69140625,0.00257196,0.00257829,756.50000000,756.50000000,1778.75687821,1783.13316785,1320.06993526,1320.06321510,91.34577433,91.34577433,117.04956965,117.04936952
864,48.24160630,0.02395262,0.02393840,0.00099303,0.00099244,1.59667969,1.59667969,1.69140625,1.69140625,0.00453305,0.00453044,759.50000000,759.50000000,3136.40040398,3134.59315719,1320.74349927,1320.73843929,91.70801799,91.70801799,117.37790659,117.37775590
865,48.26852096,0.01502576,0.01501978,0.00062259,0.00062234,1.59765625,1.59765625,1.69335938,1.69238281,0.00284226,0.00284118,762.50000000,762.50000000,1968.59849551,1967.84941644,1321.93032769,1321.92458869,92.14782715,92.14782715,117.83476531,117.83459411
866,48.27973097,0.00886727,0.00886909,0.00036733,0.00036740,1.59863281,1.59863281,1.69335938,1.69335938,0.00167698,0.00167736,765.50000000,765.50000000,1162.01474659,1162.27341018,1322.67471048,1322.66869155,92.51037598,92.51037598,118.17814973,118.17797005
867,48.29654111,0.00548761,0.00551836,0.00022725,0.00022852,1.59863281,1.59863281,1.69433594,1.69335938,0.00103751,0.00104334,765.50000000,765.50000000,719.37614789,723.41976098,1323.11390458,1323.10798539,92.51037598,92.51037598,118.19126117,118.19108446
868,48.31166524,0.01571606,0.01567949,0.00065061,0.00064910,1.59960938,1.59960938,1.69433594,1.69433594,0.00297052,0.00296366,768.50000000,768.50000000,2060.87886846,2056.11951220,1323.38572633,1323.38133611,92.87292480,92.87292480,118.52168857,118.52155740
869,48.31916953,0.01571852,0.01574798,0.00065061,0.00065183,1.59960938,1.59960938,1.69433594,1.69433594,0.00297058,0.00297620,768.50000000,768.50000000,2061.52162307,2065.42161157,1324.16413617,1324.15795141,92.87292480,92.87292480,118.54494628,118.54476149
870,48.34771998,0.00872935,0.00872608,0.00036111,0.00036097,1.60058594,1.60058594,1.69531250,1.69531250,0.00164888,0.00164829,771.50000000,771.50000000,1145.55157725,1145.14212918,1324.94233125,1324.93762189,93.23547363,93.23547363,118.90176194,118.90162101
871,48.35510676,0.01761192,0.01758469,0.00072844,0.00072731,1.60058594,1.60058594,1.69531250,1.69531250,0.00332626,0.00332117,774.50000000,774.50000000,2311.56294204,2308.02944953,1325.37456318,1325.36970089,93.59802246,93.59802246,119.22287778,119.22273228
872,48.37110758,0.01724134,0.01724014,0.00071288,0.00071283,1.60156250,1.60156250,1.69628906,1.69628906,0.00325533,0.00325516,774.50000000,774.50000000,2263.67369839,2263.55548907,1326.24631787,1326.24012663,93.83438110,93.83438110,119.56271401,119.56252813
