"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
2.25849801,0.00409891,0.00409777,0.00105575,0.00105558,1.00292969,1.00292969,2.50976562,2.50976562,0.00000000,0.00000000,0.00000000,0.00000000
2.32489501,0.00480607,0.00480444,0.00133026,0.00133000,1.00390625,1.00390625,2.88281250,2.88281250,0.00000000,0.00000000,0.00000000,0.00000000
2.39129201,0.00552125,0.00551904,0.00163687,0.00163649,1.00488281,1.00488281,3.26953125,3.26953125,0.00000000,0.00000000,0.00000000,0.00000000
2.45768901,0.00627549,0.00627264,0.00197595,0.00197541,1.00585938,1.00585938,3.66992188,3.66992188,0.00000000,0.00000000,0.00000000,0.00000000
2.52408601,0.00713076,0.00712725,0.00235110,0.00235038,1.00683594,1.00683594,4.08593750,4.08593750,0.00000000,0.00000000,0.00000000,0.00000000
2.59048301,0.00817833,0.00817418,0.00277034,0.00276941,1.00781250,1.00781250,4.53125000,4.53125000,0.00000000,0.00000000,0.00000000,0.00000000
2.65688001,0.00952869,0.00952402,0.00324660,0.00324543,1.00878906,1.00878906,5.00781250,5.00781250,0.00000000,0.00000000,0.00000000,0.00000000
2.72327701,0.01129579,0.01129078,0.00379741,0.00379600,1.01074219,1.01074219,5.53515625,5.53515625,0.00000000,0.00000000,0.00000000,0.00000000
2.78967401,0.01357875,0.01357363,0.00444378,0.00444213,1.01269531,1.01269531,6.12109375,6.12109375,0.00000000,0.00000000,0.00000000,0.00000000
2.85607101,0.01644029,0.01643536,0.00520818,0.00520629,1.01464844,1.01464844,6.77734375,6.77734375,0.00000000,0.00000000,0.00000000,0.00000000
2.92246801,0.01988923,0.01988481,0.00611193,0.00610984,1.01757812,1.01757812,7.50781250,7.50781250,0.00000000,0.00000000,0.00000000,0.00000000
2.98886501,0.02386634,0.02386276,0.00717230,0.00717005,1.02050781,1.02050781,8.32031250,8.32031250,0.00000000,0.00000000,0.00000000,0.00000000
3.05526201,0.02823843,0.02823595,0.00839966,0.00839730,1.02441406,1.02441406,9.21093750,9.21093750,0.00000000,0.00000000,0.00000000,0.00000000
3.12165901,0.03279929,0.03279809,0.00979492,0.00979252,1.02832031,1.02832031,10.16406250,10.16406250,0.00000000,0.00000000,0.00000000,0.00000000
3.18805601,0.03729163,0.03729177,0.01134825,0.01134585,1.03320312,1.03320312,11.16406250,11.16406250,0.00000000,0.00000000,0.00000000,0.00000000
3.25445301,0.04143267,0.04143407,0.01303886,0.01303652,1.03808594,1.03808594,12.20312500,12.20312500,0.00000000,0.00000000,0.00000000,0.00000000
3.32085001,0.04495315,0.04495555,0.01483645,0.01483420,1.04394531,1.04394531,13.25781250,13.25781250,0.00000000,0.00000000,0.00000000,0.00000000
3.38724701,0.04763948,0.04764244,0.01670411,0.01670198,1.04980469,1.04980469,14.31250000,14.31250000,0.00000000,0.00000000,0.00000000,0.00000000
3.45364401,0.04936830,0.04937122,0.01860234,0.01860032,1.05566406,1.05566406,15.35156250,15.35156250,0.00000000,0.00000000,0.00000000,0.00000000
3.52004101,0.05013087,0.05013303,0.02049354,0.02049160,1.06250000,1.06250000,16.35937500,16.35937500,0.00000000,0.00000000,0.00000000,0.00000000
3.58643801,0.05003425,0.05003483,0.02234614,0.02234422,1.06835938,1.06835938,17.31250000,17.31250000,0.00000000,0.00000000,0.00000000,0.00000000
3.65283501,0.04928847,0.04928663,0.02413796,0.02413598,1.07421875,1.07421875,18.23437500,18.23437500,0.00000000,0.00000000,0.00000000,0.00000000
3.71923201,0.04816956,0.04816447,0.02585784,0.02585567,1.07910156,1.07910156,19.09375000,19.09375000,0.00000000,0.00000000,0.00000000,0.00000000
3.78562901,0.04697439,0.04696534,0.02750562,0.02750314,1.08496094,1.08496094,19.92187500,19.92187500,0.00000000,0.00000000,0.00000000,0.00000000
3.85202601,0.04597673,0.04596319,0.02909062,0.02908767,1.08984375,1.08984375,20.70312500,20.70312500,0.00000000,0.00000000,0.00000000,0.00000000
3.91842301,0.04538461,0.04536642,0.03062868,0.03062512,1.09570312,1.09570312,21.45312500,21.45312500,0.00000000,0.00000000,0.00000000,0.00000000
3.98482001,0.04531644,0.04529372,0.03213885,0.03213453,1.10058594,1.10058594,22.20312500,22.20312500,0.00000000,0.00000000,0.00000000,0.00000000
4.05121701,0.04579003,0.04576334,0.03363980,0.03363460,1.10546875,1.10546875,22.93750000,22.93750000,0.00000000,0.00000000,0.00000000,0.00000000
4.11761401,0.04672870,0.04669898,0.03514681,0.03514065,1.11132812,1.11132812,23.68750000,23.68750000,0.00000000,0.00000000,0.00000000,0.00000000
4.18401101,0.04798112,0.04794955,0.03666965,0.03666250,1.11621094,1.11621094,24.43750000,24.43750000,0.00000000,0.00000000,0.00000000,0.00000000
4.25040801,0.04935046,0.04931839,0.03821149,0.03820334,1.12207031,1.12207031,25.20312500,25.20312500,0.00000000,0.00000000,0.00000000,0.00000000
4.31680501,0.05062797,0.05059673,0.03976892,0.03975980,1.12695312,1.12695312,25.96875000,25.96875000,0.00000000,0.00000000,0.00000000,0.00000000
4.38320201,0.05162277,0.05159364,0.04133289,0.04132288,1.13281250,1.13281250,26.73437500,26.73437500,0.00000000,0.00000000,0.00000000,0.00000000
4.44959901,0.05218940,0.05216339,0.04289043,0.04287965,1.13867188,1.13867188,27.51562500,27.51562500,0.00000000,0.00000000,0.00000000,0.00000000
4.51599601,0.05223385,0.05221172,0.04442638,0.04441495,1.14355469,1.14355469,28.28125000,28.28125000,0.00000000,0.00000000,0.00000000,0.00000000
4.58239301,0.05172352,0.05170572,0.04592528,0.04591334,1.14941406,1.14941406,29.01562500,29.01562500,0.00000000,0.00000000,0.00000000,0.00000000
4.64879001,0.05068069,0.05066742,0.04737299,0.04736067,1.15429688,1.15429688,29.75000000,29.75000000,0.00000000,0.00000000,0.00000000,0.00000000
4.71518701,0.04916511,0.04915635,0.04875763,0.04874506,1.16015625,1.16015625,30.43750000,30.43750000,0.00000000,0.00000000,0.00000000,0.00000000
4.78158401,0.04727337,0.04726890,0.05007051,0.05005781,1.16503906,1.16503906,31.09375000,31.09375000,0.00000000,0.00000000,0.00000000,0.00000000
4.84798101,0.04511464,0.04511418,0.05130627,0.05129356,1.16894531,1.16894531,31.71875000,31.71875000,0.00000000,0.00000000,0.00000000,0.00000000
4.91437801,0.04280545,0.04280874,0.05246294,0.05245032,1.17382812,1.17382812,32.31250000,32.31250000,0.00000000,0.00000000,0.00000000,0.00000000
4.98077501,0.04045494,0.04046180,0.05354152,0.05352908,1.17773438,1.17773438,32.87500000,32.87500000,0.00000000,0.00000000,0.00000000,0.00000000
5.04717201,0.03816347,0.03817396,0.05454562,0.05453346,1.18164062,1.18164062,33.40625000,33.40625000,0.00000000,0.00000000,0.00000000,0.00000000
5.11356901,0.03601797,0.03603239,0.05548097,0.05546919,1.18554688,1.18554688,33.90625000,33.90625000,0.00000000,0.00000000,0.00000000,0.00000000
5.17996601,0.03408739,0.03410626,0.05635484,0.05634354,1.18847656,1.18847656,34.34375000,34.34375000,0.00000000,0.00000000,0.00000000,0.00000000
5.24636301,0.03242255,0.03244658,0.05717550,0.05716481,1.19140625,1.19140625,34.81250000,34.81250000,0.00000000,0.00000000,0.00000000,0.00000000
5.31276001,0.03105110,0.03108101,0.05795164,0.05794169,1.19433594,1.19433594,35.21875000,35.21875000,0.00000000,0.00000000,0.00000000,0.00000000
5.37915701,0.02998035,0.03001665,0.05869175,0.05868270,1.19726562,1.19726562,35.62500000,35.62500000,0.00000000,0.00000000,0.00000000,0.00000000
5.44555401,0.02919819,0.02924109,0.05940377,0.05939577,1.20019531,1.20019531,36.03125000,36.03125000,0.00000000,0.00000000,0.00000000,0.00000000
5.51195101,0.02867125,0.02872044,0.06009452,0.06008770,1.20312500,1.20312500,36.43750000,36.43750000,0.00000000,0.00000000,0.00000000,0.00000000
5.57834801,0.02834861,0.02840325,0.06076937,0.06076385,1.20605469,1.20605469,36.81250000,36.81250000,0.00000000,0.00000000,0.00000000,0.00000000
5.64474501,0.02816084,0.02821953,0.06143186,0.06142772,1.20800781,1.20800781,37.21875000,37.21875000,0.00000000,0.00000000,0.00000000,0.00000000
5.71114201,0.02802586,0.02808676,0.06208351,0.06208079,1.21093750,1.21093750,37.59375000,37.59375000,0.00000000,0.00000000,0.00000000,0.00000000
5.77753901,0.02785574,0.02791679,0.06272376,0.06272244,1.21386719,1.21386719,37.96875000,37.96875000,0.00000000,0.00000000,0.00000000,0.00000000
5.84393601,0.02756912,0.02762818,0.06335022,0.06335025,1.21582031,1.21582031,38.37500000,38.37500000,0.00000000,0.00000000,0.00000000,0.00000000
