,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
74,5.62087868,0.00804805,0.00804633,0.00286363,0.00286301,1.51074219,1.51074219,2.54101562,2.54101562,0.00970565,0.00970388,87.25000000,87.25000000,126.17755188,126.15448175,146.87872985,146.87564550,10.01159668,10.01159668,12.45909611,12.45901655
75,5.75922819,0.02381317,0.02380768,0.00826957,0.00826766,1.51367188,1.51367188,2.54492188,2.54492188,0.02814967,0.02814407,88.25000000,88.25000000,382.53263359,382.45641674,147.30763332,147.30447964,10.15327454,10.15327454,12.60710721,12.60702542
76,5.77746570,0.06339256,0.06338585,0.02194476,0.02194244,1.52246094,1.52246094,2.55273438,2.55273438,0.07474215,0.07473658,90.75000000,90.75000000,1021.55722133,1021.48114680,148.60037506,148.59699236,10.47782898,10.47782898,12.96041339,12.96032446
77,6.01893062,0.03252477,0.03251008,0.01080749,0.01080261,1.54394531,1.54394531,2.57812500,2.57617188,0.03707741,0.03706183,97.68750000,97.68750000,546.03515426,545.80572310,151.99877858,151.99522126,11.45769119,11.45769119,14.00433457,14.00423739
78,6.26505793,0.01989263,0.01991333,0.00635034,0.00635695,1.55468750,1.55468750,2.58789062,2.58789062,0.02194030,0.02196383,101.18750000,101.18750000,347.61958126,347.99226820,153.78447205,153.78021007,11.94025675,11.94025675,14.53571519,14.53559653
79,6.34350623,0.02114488,0.02114110,0.00666662,0.00666543,1.56152344,1.56152344,2.59570312,2.59570312,0.02308328,0.02307987,103.62500000,103.62500000,374.12915934,374.07398779,154.91056589,154.90753783,12.24896749,12.24896749,14.84916716,14.84908215
80,6.45803939,0.01239071,0.01235633,0.00383730,0.00382665,1.56835938,1.56738281,2.60156250,2.60156250,0.01332828,0.01329171,106.06250000,106.06250000,223.19465629,222.58234202,156.11346061,156.11027918,12.60182699,12.60182699,15.23110313,15.21729505
81,6.63170798,0.02347108,0.02346748,0.00707844,0.00707736,1.57128906,1.57128906,2.60742188,2.60546875,0.02469964,0.02469663,107.31250000,107.31250000,434.15570798,434.10270253,156.82667898,156.82155976,12.77217865,12.77217865,15.40952433,15.40937803
82,6.67753179,0.01460256,0.01459738,0.00437364,0.00437209,1.57910156,1.57910156,2.61328125,2.61328125,0.01527970,0.01527475,110.31250000,110.31250000,271.97695839,271.88891147,158.20481329,158.19957114,13.20778529,13.20778529,15.87406714,15.87391507
83,6.75244722,0.00763245,0.00760858,0.00226065,0.00225358,1.58300781,1.58300781,2.61914062,2.61914062,0.00791303,0.00788854,112.00000000,112.00000000,143.75135044,143.30628810,159.06206307,159.05657239,13.42122396,13.42122396,16.08973805,16.08957810
84,6.75244722,0.00763245,0.00760858,0.00226065,0.00225358,1.58496094,1.58496094,2.62109375,2.62109375,0.00791303,0.00788854,112.93750000,112.93750000,143.75135044,143.30628810,159.51329493,159.50642466,13.53356679,13.53356679,16.20101013,16.20080966
85,7.23833646,0.03137667,0.03139107,0.00866958,0.00867356,1.58789062,1.58789062,2.62304688,2.62304688,0.03071127,0.03072632,113.81250000,113.81250000,633.47967268,633.79021594,159.96325393,159.95501179,13.67315292,13.67315292,16.34943236,16.34919049
86,7.23833646,0.03137667,0.03139107,0.00866958,0.00867356,1.59667969,1.59667969,2.63281250,2.63281250,0.03071127,0.03072632,117.37500000,117.37500000,633.47967268,633.79021594,161.93122701,161.92404396,14.17278290,14.17278290,16.88374373,16.88352982
87,7.29128374,0.03546986,0.03546684,0.00972939,0.00972856,1.60546875,1.60449219,2.64062500,2.64062500,0.03450848,0.03450662,120.68750000,120.68750000,721.35741019,721.31864630,163.87556851,163.86941822,14.64642207,14.63414510,17.39612297,17.37937998
88,7.78483656,0.01865902,0.01867995,0.00479368,0.00479906,1.61523438,1.61425781,2.65234375,2.65234375,0.01719249,0.01721232,125.00000000,125.00000000,405.15881073,405.62616091,166.06191425,166.05572822,15.23335775,15.23335775,18.00954337,18.00746958
89,7.78738729,0.03573662,0.03569957,0.00917808,0.00916856,1.61914062,1.61914062,2.65625000,2.65625000,0.03291889,0.03288579,127.43750000,127.43750000,776.23335131,775.45293463,167.27736899,167.27262489,15.56929906,15.56929906,18.34835912,18.34821287
90,8.96729559,0.01122682,0.01123705,0.00250395,0.00250623,1.62890625,1.62890625,2.66601562,2.66601562,0.00919477,0.00920344,131.50000000,131.50000000,280.80532213,281.06998905,169.58169573,169.57471501,16.15926107,16.15926107,18.97826282,18.97804402
91,9.12123028,0.01154122,0.01149011,0.00253063,0.00251942,1.63085938,1.63085938,2.66796875,2.66796875,0.00931882,0.00927785,132.50000000,132.50000000,293.62431781,292.33335995,170.40761969,170.40144941,16.28214518,16.28214518,19.11067408,19.11048025
92,9.21257269,0.02141958,0.02147385,0.00465007,0.00466186,1.63378906,1.63378906,2.67187500,2.67187500,0.01715156,0.01719556,134.12500000,134.12500000,550.40049472,551.81235021,171.26698796,171.25707962,16.53640747,16.53640747,19.37302112,19.37270813
93,9.21257269,0.02141958,0.02147385,0.00465007,0.00466186,1.63867188,1.63867188,2.67578125,2.67578125,0.01715156,0.01719556,136.25000000,136.25000000,550.40049472,551.81235021,172.86636937,172.86063655,16.82612101,16.82612101,19.69983983,19.69965747
94,10.09525936,0.02135431,0.02138842,0.00423056,0.00423732,1.64355469,1.64257812,2.68164062,2.68164062,0.01583859,0.01586439,138.87500000,138.87500000,601.29834646,602.27783905,174.45108815,174.44945406,17.20680237,17.20680237,20.09487486,20.09394740
95,10.09525936,0.02135431,0.02138842,0.00423056,0.00423732,1.64746094,1.64746094,2.68554688,2.68554688,0.01583859,0.01586439,141.12500000,141.12500000,601.29834646,602.27783905,176.16605945,176.16722130,17.49993642,17.49993642,20.40570784,20.40574526
