,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
218,2.20375129,0.58448796,0.58448369,0.40333945,0.40333650,2.88671875,2.88671875,38.71875000,38.71875000,0.01269719,0.01269665,0.01576790,0.01576719
219,2.21385565,0.63512873,0.63512408,0.40913707,0.40913409,2.93554688,2.93554688,39.25000000,39.25000000,0.01397873,0.01397816,0.01744263,0.01744187
220,2.22396002,0.67221859,0.67221367,0.41524541,0.41524237,2.98632812,2.98632812,39.78125000,39.78125000,0.01541318,0.01541258,0.01933070,0.01932989
221,2.23406438,0.69226584,0.69226078,0.42150745,0.42150438,3.04101562,3.04101562,40.31250000,40.31250000,0.01698227,0.01698162,0.02140539,0.02140451
222,2.24416875,0.69368491,0.69367984,0.42775407,0.42775095,3.09375000,3.09375000,40.87500000,40.87500000,0.01864422,0.01864351,0.02362371,0.02362275
223,2.25427311,0.67720294,0.67719798,0.43382496,0.43382180,3.14843750,3.14843750,41.37500000,41.37500000,0.02036245,0.02036171,0.02592216,0.02592114
224,2.26437747,0.64538222,0.64537750,0.43958476,0.43958154,3.20117188,3.20117188,41.87500000,41.87500000,0.02209906,0.02209828,0.02826017,0.02825909
225,2.27448184,0.60253803,0.60253363,0.44493830,0.44493505,3.25000000,3.25000000,42.34375000,42.34375000,0.02376887,0.02376805,0.03052903,0.03052788
226,2.28458620,0.55375502,0.55375097,0.44983664,0.44983333,3.29492188,3.29492188,42.75000000,42.75000000,0.02539264,0.02539174,0.03273883,0.03273757
227,2.29469056,0.50415090,0.50414721,0.45427656,0.45427322,3.33789062,3.33789062,43.15625000,43.15625000,0.02691897,0.02691806,0.03482799,0.03482669
228,2.30479493,0.45822677,0.45822342,0.45829436,0.45829099,3.37500000,3.37500000,43.50000000,43.50000000,0.02834135,0.02834041,0.03678626,0.03678492
229,2.31489929,0.41947646,0.41947339,0.46195632,0.46195292,3.41210938,3.41210938,43.81250000,43.81250000,0.02970528,0.02970430,0.03866149,0.03866009
230,2.32500366,0.39028500,0.39028214,0.46534863,0.46534523,3.44531250,3.44531250,44.09375000,44.09375000,0.03098630,0.03098529,0.04042746,0.04042600
231,2.33510802,0.37206003,0.37205731,0.46856856,0.46856514,3.47656250,3.47656250,44.37500000,44.37500000,0.03222605,0.03222502,0.04215283,0.04215136
232,2.34521238,0.36548375,0.36548108,0.47171792,0.47171450,3.50781250,3.50781250,44.65625000,44.65625000,0.03347310,0.03347203,0.04389323,0.04389169
233,2.35531675,0.37075777,0.37075506,0.47489905,0.47489557,3.54101562,3.54101562,44.90625000,44.90625000,0.03480446,0.03480336,0.04573344,0.04573184
234,2.36542111,0.38791803,0.38791519,0.47821319,0.47820970,3.57421875,3.57421875,45.21875000,45.21875000,0.03618627,0.03618515,0.04767495,0.04767331
235,2.37552547,0.41630912,0.41630608,0.48175475,0.48175123,3.61132812,3.61132812,45.50000000,45.50000000,0.03772365,0.03772248,0.04982750,0.04982578
236,2.38562984,0.45508980,0.45508647,0.48560983,0.48560628,3.65039062,3.65039062,45.84375000,45.84375000,0.03940468,0.03940346,0.05219652,0.05219471
237,2.39573420,0.50268023,0.50267655,0.48985010,0.48984650,3.69531250,3.69531250,46.21875000,46.21875000,0.04134008,0.04133881,0.05493680,0.05493494
238,2.40583857,0.55671864,0.55671457,0.49452645,0.49452284,3.74609375,3.74609375,46.62500000,46.62500000,0.04356652,0.04356525,0.05808787,0.05808598
239,2.41594293,0.61410837,0.61410388,0.49966329,0.49965966,3.80273438,3.80273438,47.06250000,47.06250000,0.04608703,0.04608572,0.06166930,0.06166731
240,2.42604729,0.67130006,0.67129515,0.50525516,0.50525147,3.86328125,3.86328125,47.56250000,47.56250000,0.04892172,0.04892033,0.06573634,0.06573422
241,2.43615166,0.72479608,0.72479078,0.51126760,0.51126385,3.93164062,3.93164062,48.09375000,48.09375000,0.05211200,0.05211054,0.07031993,0.07031769
242,2.44625602,0.77170079,0.77169515,0.51764268,0.51763892,4.00390625,4.00390625,48.62500000,48.62500000,0.05563091,0.05562937,0.07538475,0.07538238
243,2.45636038,0.81064318,0.81063725,0.52431196,0.52430809,4.08203125,4.08203125,49.21875000,49.21875000,0.05947380,0.05947221,0.08096571,0.08096326
244,2.46646475,0.84150810,0.84150194,0.53120673,0.53120285,4.16406250,4.16406250,49.81250000,49.81250000,0.06363339,0.06363171,0.08702969,0.08702708
245,2.47656911,0.86587546,0.86586913,0.53827226,0.53826833,4.25000000,4.25000000,50.40625000,50.40625000,0.06810538,0.06810360,0.09357082,0.09356801
246,2.48667348,0.88637070,0.88636422,0.54547560,0.54547167,4.33984375,4.33984375,51.03125000,51.03125000,0.07285364,0.07285181,0.10055838,0.10055547
247,2.49677784,0.90583390,0.90582727,0.55280739,0.55280334,4.43359375,4.43359375,51.65625000,51.65625000,0.07792690,0.07792493,0.10804510,0.10804194
248,2.50688220,0.92635082,0.92634404,0.56027496,0.56027085,4.53125000,4.53125000,52.28125000,52.28125000,0.08334603,0.08334403,0.11608550,0.11608222
249,2.51698657,0.94842426,0.94841732,0.56788981,0.56788564,4.63281250,4.63281250,52.90625000,52.90625000,0.08909015,0.08908804,0.12463460,0.12463114
250,2.52709093,0.97054623,0.97053913,0.57565111,0.57564688,4.73828125,4.73828125,53.56250000,53.56250000,0.09521905,0.09521683,0.13380470,0.13380102
251,2.53719529,0.98932821,0.98932097,0.58353108,0.58352685,4.85156250,4.85156250,54.21875000,54.21875000,0.10183533,0.10183301,0.14368478,0.14368091
252,2.54729966,1.00018637,1.00017906,0.59146595,0.59146166,4.96484375,4.96484375,54.87500000,54.87500000,0.10867729,0.10867485,0.15401972,0.15401564
253,2.55740402,0.99841245,0.99840514,0.59935546,0.59935111,5.07812500,5.07812500,55.53125000,55.53125000,0.11573578,0.11573324,0.16472850,0.16472419
254,2.56750839,0.98034251,0.98033534,0.60707170,0.60706723,5.19531250,5.19531250,56.18750000,56.18750000,0.12304170,0.12303900,0.17579390,0.17578927
255,2.57761275,0.94430634,0.94429943,0.61447513,0.61447066,5.30859375,5.30859375,56.78125000,56.78125000,0.13028070,0.13027790,0.18681205,0.18680723
256,2.58771711,0.89110773,0.89110121,0.62143421,0.62142968,5.41796875,5.41796875,57.34375000,57.34375000,0.13745923,0.13745639,0.19776426,0.19775933
257,2.59782148,0.82392795,0.82392193,0.62784368,0.62783909,5.51953125,5.51953125,57.87500000,57.87500000,0.14411862,0.14411558,0.20796165,0.20795636
258,2.60792584,0.74771088,0.74770541,0.63363767,0.63363302,5.61328125,5.61328125,58.34375000,58.34375000,0.15040992,0.15040681,0.21759547,0.21759001
259,2.61803020,0.66822387,0.66821898,0.63879567,0.63879102,5.69921875,5.69921875,58.78125000,58.78125000,0.15628424,0.15628108,0.22663404,0.22662849
260,2.62813457,0.59105316,0.59104884,0.64334053,0.64333582,5.77734375,5.77734375,59.15625000,59.15625000,0.16146211,0.16145885,0.23461516,0.23460937
261,2.63823893,0.52077753,0.52077372,0.64732963,0.64732492,5.84375000,5.84375000,59.46875000,59.46875000,0.16607416,0.16607085,0.24173015,0.24172428
262,2.64834329,0.46046256,0.46045920,0.65084332,0.65083855,5.90625000,5.90625000,59.75000000,59.75000000,0.17041849,0.17041515,0.24836146,0.24835551
263,2.65844766,0.41154029,0.41153727,0.65397173,0.65396690,5.96093750,5.96093750,60.03125000,60.03125000,0.17413570,0.17413221,0.25412585,0.25411963
264,2.66855202,0.37393995,0.37393722,0.65680355,0.65679872,6.01171875,6.01171875,60.25000000,60.25000000,0.17768082,0.17767748,0.25957833,0.25957233
265,2.67865639,0.34675528,0.34675274,0.65941960,0.65941477,6.05859375,6.05859375,60.46875000,60.46875000,0.18096660,0.18096307,0.26467437,0.26466806
266,2.68876075,0.32821546,0.32821305,0.66188645,0.66188163,6.10156250,6.10156250,60.68750000,60.68750000,0.18403287,0.18402931,0.26941971,0.26941331
267,2.69886511,0.31649063,0.31648832,0.66425627,0.66425145,6.14453125,6.14453125,60.87500000,60.87500000,0.18719698,0.18719341,0.27428954,0.27428311
268,2.70896948,0.30987007,0.30986780,0.66656786,0.66656303,6.18750000,6.18750000,61.06250000,61.06250000,0.19020192,0.19019829,0.27891598,0.27890944
269,2.71907384,0.30694755,0.30694530,0.66884917,0.66884428,6.22656250,6.22656250,61.25000000,61.25000000,0.19306347,0.19305982,0.28340299,0.28339632
270,2.72917820,0.30669473,0.30669248,0.67112017,0.67111528,6.26953125,6.26953125,61.46875000,61.46875000,0.19608583,0.19608210,0.28812991,0.28812317
271,2.73928257,0.30845325,0.30845099,0.67339575,0.67339081,6.31250000,6.31250000,61.65625000,61.65625000,0.19913585,0.19913211,0.29282691,0.29282010
272,2.74938693,0.31203122,0.31202894,0.67568928,0.67568433,6.35546875,6.35546875,61.84375000,61.84375000,0.20237333,0.20236948,0.29788799,0.29788102
273,2.75949130,0.31719968,0.31719736,0.67801225,0.67800725,6.39843750,6.39843750,62.03125000,62.03125000,0.20550984,0.20550603,0.30273353,0.30272652
274,2.76959566,0.32415165,0.32414928,0.68037742,0.68037248,6.44531250,6.44531250,62.25000000,62.25000000,0.20885591,0.20885207,0.30790303,0.30789597
275,2.77970002,0.33306430,0.33306186,0.68279886,0.68279386,6.49218750,6.49218750,62.46875000,62.46875000,0.21227394,0.21227010,0.31328438,0.31327730
276,2.78980439,0.34453283,0.34453031,0.68529457,0.68528956,6.53906250,6.53906250,62.68750000,62.68750000,0.21577914,0.21577522,0.31873634,0.31872906
277,2.79990875,0.35884565,0.35884303,0.68788457,0.68787956,6.58984375,6.58984375,62.90625000,62.90625000,0.21954490,0.21954104,0.32460593,0.32459880
278,2.81001311,0.37658663,0.37658388,0.69059289,0.69058782,6.64453125,6.64453125,63.12500000,63.12500000,0.22343922,0.22343518,0.33061480,0.33060738
279,2.82011748,0.39846854,0.39846562,0.69344831,0.69344318,6.69921875,6.69921875,63.37500000,63.37500000,0.22764680,0.22764263,0.33722964,0.33722191
280,2.83022184,0.42536476,0.42536165,0.69648552,0.69648045,6.76171875,6.76171875,63.65625000,63.65625000,0.23220405,0.23219991,0.34433103,0.34432335
281,2.84032621,0.45831044,0.45830708,0.69974637,0.69974124,6.82812500,6.82812500,63.93750000,63.93750000,0.23715495,0.23715071,0.35209397,0.35208608
282,2.85043057,0.49842070,0.49841706,0.70328003,0.70327491,6.89843750,6.89843750,64.25000000,64.25000000,0.24255145,0.24254717,0.36051317,0.36050517
283,2.86053493,0.54671718,0.54671318,0.70714241,0.70713723,6.98046875,6.98046875,64.62500000,64.62500000,0.24878821,0.24878369,0.37029882,0.37029042
284,2.87063930,0.60384726,0.60384285,0.71139336,0.71138817,7.07031250,7.07031250,65.00000000,65.00000000,0.25560713,0.25560269,0.38098623,0.38097785
285,2.88074366,0.66973010,0.66972520,0.71609157,0.71608633,7.16796875,7.16796875,65.37500000,65.37500000,0.26325151,0.26324692,0.39284116,0.39283249
286,2.89084802,0.74320392,0.74319849,0.72128701,0.72128177,7.28125000,7.28125000,65.87500000,65.87500000,0.27197224,0.27196756,0.40660815,0.40659928
287,2.90095239,0.82178160,0.82177558,0.72701174,0.72700644,7.40625000,7.40625000,66.37500000,66.37500000,0.28184438,0.28183955,0.42206465,0.42205543
288,2.91105675,0.90161063,0.90160404,0.73327076,0.73326540,7.54687500,7.54687500,66.93750000,66.93750000,0.29292503,0.29292020,0.43941903,0.43940979
289,2.92116112,0.97776647,0.97775932,0.74003500,0.74002963,7.70312500,7.70312500,67.50000000,67.50000000,0.30524498,0.30524012,0.45870945,0.45870009
290,2.93126548,1.04479375,1.04478611,0.74723804,0.74723256,7.87109375,7.87109375,68.18750000,68.18750000,0.31880146,0.31879613,0.48005808,0.48004780
291,2.94136984,1.09748517,1.09747714,0.75477833,0.75477278,8.05468750,8.05468750,68.81250000,68.81250000,0.33355606,0.33355063,0.50306048,0.50304995
292,2.95147421,1.13170482,1.13169654,0.76252711,0.76252151,8.24218750,8.24218750,69.50000000,69.50000000,0.34904107,0.34903541,0.52725639,0.52724527
293,2.96157857,1.14506568,1.14505730,0.77034062,0.77033496,8.43750000,8.43750000,70.18750000,70.18750000,0.36533695,0.36533120,0.55289250,0.55288115
294,2.97168293,1.13729188,1.13728356,0.77807468,0.77806902,8.63281250,8.63281250,70.87500000,70.87500000,0.38169974,0.38169390,0.57860744,0.57859595
295,2.98178730,1.11017573,1.11016761,0.78559875,0.78559303,8.83593750,8.83593750,71.56250000,71.56250000,0.39881659,0.39881051,0.60536492,0.60535288
296,2.99189166,1.06714753,1.06713972,0.79280680,0.79280102,9.03125000,9.03125000,72.18750000,72.18750000,0.41529974,0.41529360,0.63098324,0.63097098
297,3.00199603,1.01257683,1.01256942,0.79962325,0.79961741,9.21875000,9.21875000,72.75000000,72.75000000,0.43144646,0.43144000,0.65608156,0.65606860
298,3.01210039,0.95098389,0.95097694,0.80600357,0.80599767,9.39062500,9.39062500,73.31250000,73.31250000,0.44672343,0.44671682,0.68020476,0.68019154
299,3.02220475,0.88634491,0.88633843,0.81193036,0.81192440,9.56250000,9.56250000,73.81250000,73.81250000,0.46173212,0.46172526,0.70340583,0.70339198
300,3.03230912,0.82162832,0.82162231,0.81740606,0.81740010,9.72656250,9.72656250,74.31250000,74.31250000,0.47576067,0.47575375,0.72521935,0.72520530
301,3.04241348,0.75862327,0.75861772,0.82244509,0.82243907,9.87500000,9.87500000,74.75000000,74.75000000,0.48900712,0.48900035,0.74583875,0.74582496
302,3.05251784,0.69804071,0.69803560,0.82706636,0.82706028,10.01562500,10.01562500,75.12500000,75.12500000,0.50145602,0.50144899,0.76496798,0.76495369
303,3.06262221,0.63981907,0.63981439,0.83128822,0.83128214,10.14062500,10.14062500,75.50000000,75.50000000,0.51262075,0.51261342,0.78246298,0.78244807
304,3.07272657,0.58350708,0.58350281,0.83512580,0.83511972,10.25781250,10.25781250,75.81250000,75.81250000,0.52343309,0.52342564,0.79917076,0.79915558
305,3.08283093,0.52864012,0.52863625,0.83859122,0.83858508,10.36718750,10.36718750,76.12500000,76.12500000,0.53341067,0.53340316,0.81466876,0.81465342
306,3.09293530,0.47501942,0.47501595,0.84169489,0.84168875,10.46875000,10.46875000,76.43750000,76.43750000,0.54205626,0.54204863,0.82805220,0.82803661
307,3.10303966,0.42285130,0.42284821,0.84444875,0.84444255,10.55468750,10.55468750,76.62500000,76.62500000,0.55033100,0.55032337,0.84079716,0.84078160
308,3.11314403,0.37274287,0.37274014,0.84686834,0.84686220,10.63281250,10.63281250,76.87500000,76.87500000,0.55726188,0.55725414,0.85159958,0.85158369
309,3.12324839,0.32558205,0.32557967,0.84897500,0.84896880,10.70312500,10.70312500,77.06250000,77.06250000,0.56334519,0.56333756,0.86089532,0.86087949
310,3.13335275,0.28235090,0.28234884,0.85079604,0.85078984,10.75781250,10.75781250,77.18750000,77.18750000,0.56860256,0.56859463,0.86908093,0.86906468
311,3.14345712,0.24402860,0.24402681,0.85236490,0.85235864,10.81250000,10.81250000,77.37500000,77.37500000,0.57356274,0.57355493,0.87681863,0.87680255
312,3.15356148,0.21115435,0.21115280,0.85371798,0.85371172,10.85937500,10.85937500,77.50000000,77.50000000,0.57776910,0.57776105,0.88325749,0.88324116
313,3.16366584,0.18401528,0.18401393,0.85489345,0.85488719,10.89843750,10.89843750,77.56250000,77.56250000,0.58126253,0.58125436,0.88848314,0.88846636
314,3.17377021,0.16279051,0.16278932,0.85592997,0.85592371,10.92968750,10.92968750,77.68750000,77.68750000,0.58458775,0.58457971,0.89390050,0.89388394
315,3.18387457,0.14710177,0.14710069,0.85686368,0.85685742,10.96093750,10.96093750,77.75000000,77.75000000,0.58728743,0.58727944,0.89792633,0.89791012
316,3.19397894,0.13660558,0.13660459,0.85772800,0.85772175,10.99218750,10.99218750,77.81250000,77.81250000,0.58990359,0.58989561,0.90177409,0.90175766
317,3.20408330,0.13099786,0.13099690,0.85855424,0.85854793,11.01562500,11.01562500,77.93750000,77.93750000,0.59247601,0.59246802,0.90608387,0.90606727
318,3.21418766,0.13015846,0.13015750,0.85937256,0.85936630,11.04687500,11.04687500,78.00000000,78.00000000,0.59504330,0.59503525,0.91000864,0.90999208
319,3.22429203,0.13438309,0.13438211,0.86021483,0.86020857,11.07031250,11.07031250,78.06250000,78.06250000,0.59764653,0.59763837,0.91400322,0.91398648
