,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
33,3.69640980,0.34137669,0.34137669,0.20066492,0.20066492,1.31933594,1.31933594,34.28125000,34.28125000,0.00000078,0.00000078,0.00000088,0.00000088
34,3.80839192,0.46402770,0.46402770,0.22795351,0.22795351,1.37207031,1.37207031,37.81250000,37.81250000,0.00001533,0.00001533,0.00001782,0.00001782
35,3.92037403,0.59151378,0.59151378,0.26174566,0.26174566,1.44140625,1.44140625,42.00000000,42.00000000,0.00014565,0.00014565,0.00017857,0.00017857
36,4.03235615,0.72402543,0.72402543,0.30195934,0.30195934,1.52929688,1.52929688,46.75000000,46.75000000,0.00078721,0.00078721,0.00103486,0.00103486
37,4.14433826,0.84437266,0.84437266,0.34759009,0.34759009,1.63671875,1.63671875,51.84375000,51.84375000,0.00276609,0.00276609,0.00395748,0.00395748
38,4.25632038,0.89799271,0.89799271,0.39484176,0.39484176,1.75488281,1.75488281,56.90625000,56.90625000,0.00683436,0.00683436,0.01071261,0.01071261
39,4.36830249,0.82919759,0.82919759,0.43735498,0.43735498,1.87011719,1.87011719,61.34375000,61.34375000,0.01259324,0.01259324,0.02143695,0.02143695
40,4.48028461,0.64508351,0.64508351,0.46960196,0.46960196,1.96289062,1.96289062,64.62500000,64.62500000,0.01837560,0.01837560,0.03327530,0.03327530
41,4.59226672,0.42370647,0.42370647,0.49026605,0.49026605,2.02539062,2.02539062,66.75000000,66.75000000,0.02274238,0.02274238,0.04282948,0.04282948
42,4.70424884,0.25136251,0.25136251,0.50223315,0.50223315,2.06250000,2.06250000,68.06250000,68.06250000,0.02551626,0.02551626,0.04916796,0.04916796
43,4.81623095,0.16526450,0.16526450,0.50991827,0.50991827,2.08593750,2.08593750,68.87500000,68.87500000,0.02737722,0.02737722,0.05354587,0.05354587
44,4.92821307,0.15754783,0.15754783,0.51707810,0.51707810,2.10937500,2.10937500,69.68750000,69.68750000,0.02919360,0.02919360,0.05787146,0.05787146
45,5.04019518,0.21569115,0.21569115,0.52666247,0.52666247,2.14062500,2.14062500,70.81250000,70.81250000,0.03170562,0.03170562,0.06405363,0.06405363
46,5.15217730,0.34533107,0.34533107,0.54167396,0.54167396,2.18945312,2.18945312,72.56250000,72.56250000,0.03587422,0.03587422,0.07461851,0.07461851
47,5.26415941,0.55216147,0.55216147,0.56516570,0.56516570,2.27148438,2.27148438,75.43750000,75.43750000,0.04300353,0.04300353,0.09356125,0.09356125
48,5.37614153,0.80464277,0.80464277,0.59868628,0.59868628,2.39257812,2.39257812,79.43750000,79.43750000,0.05434399,0.05434399,0.12576305,0.12576305
49,5.48812364,1.02703716,1.02703716,0.64059854,0.64059854,2.55273438,2.55273438,84.37500000,84.37500000,0.07052773,0.07052773,0.17584091,0.17584091
50,5.60010576,1.14507972,1.14507972,0.68639350,0.68639350,2.74218750,2.74218750,89.68750000,89.68750000,0.09085242,0.09085242,0.24428385,0.24428385
51,5.71208787,1.13754986,1.13754986,0.73099548,0.73099548,2.94140625,2.94140625,94.75000000,94.75000000,0.11335638,0.11335638,0.32613948,0.32613948
52,5.82406999,1.03357308,1.03357308,0.77074146,0.77074146,3.13085938,3.13085938,99.25000000,99.25000000,0.13573197,0.13573197,0.41317898,0.41317898
53,5.93605210,0.87121289,0.87121289,0.80361193,0.80361193,3.29882812,3.29882812,102.93750000,102.93750000,0.15595798,0.15595798,0.49570140,0.49570140
54,6.04803422,0.67801256,0.67801256,0.82871932,0.82871932,3.43164062,3.43164062,105.75000000,105.75000000,0.17251854,0.17251854,0.56594389,0.56594389
55,6.16001633,0.48296241,0.48296241,0.84627873,0.84627873,3.52929688,3.52929688,107.75000000,107.75000000,0.18477254,0.18477254,0.61919298,0.61919298
56,6.27199845,0.32007626,0.32007626,0.85770822,0.85770822,3.59375000,3.59375000,109.06250000,109.06250000,0.19289318,0.19289318,0.65518311,0.65518311
57,6.38398056,0.21140409,0.21140409,0.86512476,0.86512476,3.63671875,3.63671875,110.00000000,110.00000000,0.19830024,0.19830024,0.67984237,0.67984237
58,6.49596268,0.15639721,0.15639721,0.87051696,0.87051696,3.66796875,3.66796875,110.62500000,110.62500000,0.20238788,0.20238788,0.69810047,0.69810047
59,6.60794479,0.14179296,0.14179296,0.87532276,0.87532276,3.69726562,3.69726562,111.25000000,111.25000000,0.20599785,0.20599785,0.71475698,0.71475698
60,6.71992691,0.15631361,0.15631361,0.88053244,0.88053244,3.72851562,3.72851562,111.93750000,111.93750000,0.21007158,0.21007158,0.73335596,0.73335596
61,6.83190902,0.19422594,0.19422594,0.88689953,0.88689953,3.76562500,3.76562500,112.75000000,112.75000000,0.21481317,0.21481317,0.75580118,0.75580118
62,6.94389114,0.24920673,0.24920673,0.89493734,0.89493734,3.81640625,3.81640625,113.87500000,113.87500000,0.22127512,0.22127512,0.78629524,0.78629524
63,7.05587325,0.30988039,0.30988039,0.90477341,0.90477341,3.87695312,3.87695312,115.25000000,115.25000000,0.22916237,0.22916237,0.82427002,0.82427002
64,7.16785537,0.36371155,0.36371155,0.91613781,0.91613781,3.94921875,3.94921875,116.87500000,116.87500000,0.23855020,0.23855020,0.86970396,0.86970396
65,7.27983748,0.40568103,0.40568103,0.92861855,0.92861855,4.03125000,4.03125000,118.68750000,118.68750000,0.24917378,0.24917378,0.92177098,0.92177098
66,7.39181960,0.44394500,0.44394500,0.94206965,0.94206965,4.12109375,4.12109375,120.62500000,120.62500000,0.26087329,0.26087329,0.97999618,0.97999618
67,7.50380171,0.49924732,0.49924732,0.95697057,0.95697057,4.22265625,4.22265625,122.87500000,122.87500000,0.27422094,0.27422094,1.04800940,1.04800940
68,7.61578383,0.59712424,0.59712424,0.97453070,0.97453070,4.34765625,4.34765625,125.50000000,125.50000000,0.29080969,0.29080969,1.13277668,1.13277668
69,7.72776595,0.75082418,0.75082418,0.99629092,0.99629092,4.50781250,4.50781250,128.75000000,128.75000000,0.31207591,0.31207591,1.24366601,1.24366601
70,7.83974806,0.94264826,0.94264826,1.02322030,1.02322030,4.71093750,4.71093750,132.87500000,132.87500000,0.33968252,0.33968252,1.39144656,1.39144656
71,7.95173018,1.12567264,1.12567264,1.05492544,1.05492544,4.96484375,4.96484375,137.62500000,137.62500000,0.37431645,0.37431645,1.57903515,1.57903515
72,8.06371229,1.25429718,1.25429718,1.08976269,1.08976269,5.26171875,5.26171875,142.87500000,142.87500000,0.41518930,0.41518930,1.80428072,1.80428072
73,8.17569441,1.31446393,1.31446393,1.12577093,1.12577093,5.58984375,5.58984375,148.12500000,148.12500000,0.46097624,0.46097624,2.05724823,2.05724823
74,8.28767652,1.31975967,1.31975967,1.16143584,1.16143584,5.93359375,5.93359375,153.37500000,153.37500000,0.50993383,0.50993383,2.33136665,2.33136665
75,8.39965864,1.28145628,1.28145628,1.19560397,1.19560397,6.28125000,6.28125000,158.37500000,158.37500000,0.55980229,0.55980229,2.61472482,2.61472482
76,8.51164075,1.19032613,1.19032613,1.22692466,1.22692466,6.62109375,6.62109375,162.87500000,162.87500000,0.60875726,0.60875726,2.89021559,2.89021559
77,8.62362287,1.03212051,1.03212051,1.25372982,1.25372982,6.92578125,6.92578125,166.75000000,166.75000000,0.65328723,0.65328723,3.14336132,3.14336132
78,8.73560498,0.82273385,0.82273385,1.27482319,1.27482319,7.17578125,7.17578125,169.87500000,169.87500000,0.69037700,0.69037700,3.35421369,3.35421369
79,8.84758710,0.62629297,0.62629297,1.29067695,1.29067695,7.37109375,7.37109375,172.12500000,172.12500000,0.71890384,0.71890384,3.51396189,3.51396189
80,8.95956921,0.52834852,0.52834852,1.30388415,1.30388415,7.53906250,7.53906250,174.12500000,174.12500000,0.74382132,0.74382132,3.65593482,3.65593482
81,9.07155133,0.57560749,0.57560749,1.31809509,1.31809509,7.72265625,7.72265625,176.25000000,176.25000000,0.77107507,0.77107507,3.81183552,3.81183552
82,9.18353344,0.73251672,0.73251672,1.33595943,1.33595943,7.96093750,7.96093750,179.00000000,179.00000000,0.80673754,0.80673754,4.01398229,4.01398229
83,9.29551556,0.89944436,0.89944436,1.35763049,1.35763049,8.25781250,8.25781250,182.37500000,182.37500000,0.85126042,0.85126042,4.26766481,4.26766481
84,9.40749767,0.98114778,0.98114778,1.38098860,1.38098860,8.59375000,8.59375000,186.00000000,186.00000000,0.90213716,0.90213716,4.55612173,4.55612173
85,9.51947979,0.94148074,0.94148074,1.40313876,1.40313876,8.92968750,8.92968750,189.37500000,189.37500000,0.95312214,0.95312214,4.83927885,4.83927885
86,9.63146190,0.80225447,0.80225447,1.42179394,1.42179394,9.21875000,9.21875000,192.37500000,192.37500000,0.99693447,0.99693447,5.08943607,5.08943607
87,9.74344402,0.61264803,0.61264803,1.43587637,1.43587637,9.44531250,9.44531250,194.50000000,194.50000000,1.03193033,1.03193033,5.28093223,5.28093223
88,9.85542613,0.42625564,0.42625564,1.44556296,1.44556296,9.60156250,9.60156250,196.12500000,196.12500000,1.05585778,1.05585778,5.41614712,5.41614712
89,9.96740825,0.28505533,0.28505533,1.45196807,1.45196807,9.71093750,9.71093750,197.12500000,197.12500000,1.07290125,1.07290125,5.50919036,5.50919036
90,10.07939036,0.20748172,0.20748172,1.45657837,1.45657837,9.78125000,9.78125000,197.87500000,197.87500000,1.08352017,1.08352017,5.57385346,5.57385346
91,10.19137248,0.19291174,0.19291174,1.46081769,1.46081769,9.85937500,9.85937500,198.62500000,198.62500000,1.09494174,1.09494174,5.63349475,5.63349475
92,10.30335459,0.23841708,0.23841708,1.46600020,1.46600020,9.94531250,9.94531250,199.50000000,199.50000000,1.10918450,1.10918450,5.71624386,5.71624386
93,10.41533671,0.34332441,0.34332441,1.47338283,1.47338283,10.07031250,10.07031250,200.75000000,200.75000000,1.12826204,1.12826204,5.82463346,5.82463346
94,10.52731882,0.49232625,0.49232625,1.48385692,1.48385692,10.25781250,10.25781250,202.62500000,202.62500000,1.15714562,1.15714562,5.98507053,5.98507053
95,10.63930094,0.64149000,0.64149000,1.49736071,1.49736071,10.50000000,10.50000000,205.00000000,205.00000000,1.19493806,1.19493806,6.20021456,6.20021456
96,10.75128305,0.73673162,0.73673162,1.51270783,1.51270783,10.78906250,10.78906250,207.75000000,207.75000000,1.23989403,1.23989403,6.44567399,6.44567399
97,10.86326517,0.75343695,0.75343695,1.52824116,1.52824116,11.08593750,11.08593750,210.62500000,210.62500000,1.28548622,1.28548622,6.70320533,6.70320533
98,10.97524728,0.71155677,0.71155677,1.54276145,1.54276145,11.36718750,11.36718750,213.25000000,213.25000000,1.32966495,1.32966495,6.95116884,6.95116884
