,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
384,32.42249018,0.02652052,0.02655868,0.00163593,0.00163829,3.00976562,3.00976562,4.42578125,4.42578125,0.00336028,0.00336499,183.25000000,183.25000000,1106.96064646,1108.51234509,670.14041891,670.11444409,33.03212484,33.03212484,94.98993848,94.98702894
385,32.65389856,0.07679999,0.07686345,0.00470388,0.00470777,3.01171875,3.01171875,4.42578125,4.42578125,0.00967131,0.00967895,184.00000000,184.00000000,3228.49328366,3231.04168453,670.96582752,670.94104102,33.16731771,33.16731771,95.16324498,95.16046858
386,32.75675063,0.01994668,0.02002235,0.00121787,0.00122249,3.01562500,3.01562500,4.42968750,4.42968750,0.00250504,0.00251445,186.12500000,186.12500000,841.15339154,844.31306412,673.36738486,673.34457910,33.56929779,33.56929779,95.81058136,95.80802102
387,32.80706607,0.02043534,0.02043884,0.00124579,0.00124600,3.01757812,3.01757812,4.43359375,4.43359375,0.00256301,0.00256335,186.12500000,186.12500000,863.08391991,863.19966775,673.99168272,673.97124217,33.60716502,33.60716502,96.03511133,96.03281200
388,32.84305499,0.04320636,0.04323901,0.00263108,0.00263307,3.01953125,3.01953125,4.43359375,4.43359375,0.00541383,0.00541772,186.87500000,186.87500000,1826.81649851,1828.12912822,674.63165676,674.61132138,33.74258677,33.74258677,96.31237216,96.31008087
389,32.90485134,0.10952272,0.10952728,0.00665693,0.00665721,3.02148438,3.02148438,4.43750000,4.43750000,0.01370110,0.01370116,187.62500000,187.62500000,4639.46476735,4639.48584602,675.98423709,675.96491334,33.83983612,33.83983612,96.43573122,96.43355644
390,32.94166981,0.02802438,0.02807313,0.00170145,0.00170441,3.02734375,3.02734375,4.44140625,4.44140625,0.00350241,0.00350838,190.62500000,190.62500000,1188.46218275,1190.48524463,679.40720747,679.38799659,34.45847829,34.45847829,97.45807862,97.45590803
391,32.95907850,0.11154487,0.11143243,0.00676869,0.00676187,3.02929688,3.02929688,4.44531250,4.44531250,0.01393422,0.01391966,191.25000000,191.25000000,4732.91126914,4727.96520962,680.28127694,680.26357771,34.57145691,34.57145691,97.79675940,97.79475460
392,33.08820690,0.01938273,0.01930582,0.00117158,0.00116693,3.03710938,3.03710938,4.45312500,4.45312500,0.00241313,0.00240346,193.62500000,193.62500000,825.64223570,822.33565331,683.75107094,683.72984458,35.04016876,35.04016876,98.64833111,98.64592018
393,33.10243258,0.04062918,0.04065928,0.00245476,0.00245657,3.03710938,3.03710938,4.45312500,4.45312500,0.00505641,0.00505997,194.37500000,194.37500000,1731.41710968,1732.63543529,684.35456399,684.33094042,35.17589569,35.17589569,98.79816815,98.79548495
394,33.18325577,0.07297460,0.07292302,0.00439828,0.00439517,3.04101562,3.04101562,4.45703125,4.45703125,0.00906276,0.00905602,195.12500000,195.12500000,3117.41372528,3115.09472444,685.61839704,685.59570554,35.33147176,35.33147176,99.25084202,99.24825686
395,33.24647071,0.02117733,0.02111593,0.00127396,0.00127027,3.04492188,3.04492188,4.46093750,4.46093750,0.00262570,0.00261799,197.37500000,197.37500000,906.40118681,903.73994005,687.88807236,687.86377007,35.73888143,35.73888143,99.84632496,99.84355168
396,33.32532077,0.03253984,0.03250694,0.00195286,0.00195089,3.04492188,3.04492188,4.46093750,4.46093750,0.00402625,0.00402203,197.37500000,197.37500000,1396.02592966,1394.56283142,688.54658613,688.52037451,35.73888143,35.73888143,99.92147200,99.91848084
397,33.41985720,0.06091614,0.06096224,0.00364551,0.00364826,3.04687500,3.04687500,4.46093750,4.46093750,0.00751889,0.00752430,198.12500000,198.12500000,2620.84081421,2622.72730502,689.55958931,689.53235526,35.91499329,35.91499329,100.22941372,100.22630245
398,33.56075943,0.02658290,0.02657530,0.00158417,0.00158371,3.05078125,3.05078125,4.46484375,4.46484375,0.00326922,0.00326816,199.75000000,199.75000000,1148.51831555,1148.14731871,691.45735083,691.43155573,36.16892497,36.16892497,100.60235617,100.59940772
399,33.56156565,0.11392952,0.11385652,0.00678928,0.00678493,3.05273438,3.05273438,4.46875000,4.46875000,0.01401099,0.01400150,200.50000000,200.50000000,4922.45973497,4919.12350198,692.28735821,692.26132607,36.30472819,36.30472819,100.85569107,100.85271329
400,33.59750339,0.06640099,0.06641419,0.00395273,0.00395352,3.06054688,3.06054688,4.47656250,4.47656250,0.00815841,0.00815973,203.62500000,203.62500000,2872.00538389,2872.47018823,695.83349019,695.80519334,36.91200256,36.91200256,101.89915236,101.89590120
401,33.63018462,0.05614473,0.05622109,0.00333895,0.00334349,3.06445312,3.06445312,4.48046875,4.48046875,0.00689247,0.00690159,205.25000000,205.25000000,2430.75946209,2433.97523185,697.89415491,697.86627463,37.31096903,37.31096903,102.72400222,102.72078488
