,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
38,3.83688361,0.06317578,0.06317574,0.04357796,0.04357796,1.24218750,1.24218750,30.68750000,30.68750000,0.00000000,0.00000000,0.00000000,0.00000000
39,3.93782792,0.06892227,0.06892223,0.04711154,0.04711153,1.26464844,1.26464844,32.68750000,32.68750000,0.00000000,0.00000000,0.00000000,0.00000000
40,4.03877222,0.07446855,0.07446846,0.05083404,0.05083403,1.29003906,1.29003906,34.78125000,34.78125000,0.00000000,0.00000000,0.00000000,0.00000000
41,4.13971653,0.07951903,0.07951885,0.05471208,0.05471206,1.31738281,1.31738281,36.90625000,36.90625000,0.00000000,0.00000000,0.00000000,0.00000000
42,4.24066083,0.08378153,0.08378118,0.05870074,0.05870070,1.34570312,1.34570312,39.09375000,39.09375000,0.00000000,0.00000000,0.00000000,0.00000000
43,4.34160514,0.08699134,0.08699072,0.06274591,0.06274585,1.37500000,1.37500000,41.31250000,41.31250000,0.00000000,0.00000000,0.00000000,0.00000000
44,4.44254944,0.08894194,0.08894090,0.06678782,0.06678771,1.40527344,1.40527344,43.46875000,43.46875000,0.00000000,0.00000000,0.00000000,0.00000000
45,4.54349375,0.08951238,0.08951063,0.07076527,0.07076509,1.43554688,1.43554688,45.62500000,45.62500000,0.00000000,0.00000000,0.00000000,0.00000000
46,4.64443805,0.08869267,0.08868997,0.07462065,0.07462034,1.46679688,1.46679688,47.68750000,47.68750000,0.00000000,0.00000000,0.00000000,0.00000000
47,4.74538236,0.08660194,0.08659792,0.07830506,0.07830458,1.49609375,1.49609375,49.65625000,49.65625000,0.00000000,0.00000000,0.00000000,0.00000000
48,4.84632667,0.08347941,0.08347366,0.08178265,0.08178193,1.52441406,1.52441406,51.53125000,51.53125000,0.00000000,0.00000000,0.00000000,0.00000000
49,4.94727097,0.07966099,0.07965314,0.08503346,0.08503243,1.55273438,1.55273438,53.28125000,53.28125000,0.00000000,0.00000000,0.00000000,0.00000000
50,5.04821528,0.07553349,0.07552324,0.08805420,0.08805276,1.57812500,1.57812500,54.93750000,54.93750000,0.00000000,0.00000000,0.00000000,0.00000000
51,5.14915958,0.07147911,0.07146632,0.09085676,0.09085482,1.60351562,1.60351562,56.46875000,56.46875000,0.00000000,0.00000000,0.00000000,0.00000000
