,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
314,27.67706987,0.00645379,0.00644444,0.00046636,0.00046569,2.20312500,2.20312500,0.00110990,0.00110833,94.31250000,94.31250000,272.29674619,271.90971951,605.24214158,605.24700272,14.43891525,14.43891525,48.60460692,48.60491132
315,27.68860339,0.09389774,0.09386648,0.00678241,0.00678015,2.20312500,2.20312500,0.01614247,0.01613753,94.68750000,94.68750000,3963.36409909,3962.15182897,605.46704840,605.47158812,14.49632645,14.49632645,48.66125344,48.66153772
316,27.77134747,0.12326387,0.12336659,0.00887705,0.00888445,2.21093750,2.21093750,0.02113658,0.02115477,96.18750000,96.18750000,5218.43811676,5222.92803738,608.73123034,608.73474999,14.76511002,14.76511002,49.34125620,49.34147828
317,27.81677125,0.04304702,0.04305207,0.00309504,0.00309540,2.21875000,2.21875000,0.00737108,0.00737214,98.12500000,98.12500000,1825.39798684,1825.66142276,613.00256844,613.00972576,15.11243184,15.11243184,50.19832418,50.19877991
318,28.03938996,0.10602993,0.10604195,0.00756293,0.00756378,2.22265625,2.22265625,0.01803164,0.01803417,98.87500000,98.87500000,4532.15584577,4532.79198856,614.48966379,614.49701814,15.20782471,15.20782471,50.40447234,50.40494132
319,28.18879667,0.04481186,0.04476384,0.00317941,0.00317600,2.23046875,2.23046875,0.00758599,0.00757806,100.81250000,100.81250000,1925.64980431,1923.63806534,618.16640377,618.17422891,15.55710475,15.55710475,51.21128167,51.21178487
320,28.18987171,0.02142691,0.02139165,0.00152019,0.00151768,2.23242188,2.23242188,0.00362714,0.00362127,101.62500000,101.62500000,920.78988066,919.29921518,619.72199618,619.72817861,15.69282532,15.69282532,51.47096640,51.47136463
321,28.40928121,0.06716280,0.06722581,0.00472823,0.00473267,2.23437500,2.23437500,0.01129362,0.01130452,102.00000000,102.00000000,2908.68599120,2911.49328339,620.46445702,620.46943081,15.77148438,15.77148438,51.66279211,51.66311323
322,28.59899918,0.02665074,0.02664324,0.00186375,0.00186323,2.24023438,2.24023438,0.00445578,0.00445464,102.81250000,102.81250000,1161.89782789,1161.60229908,622.80400482,622.81121366,15.92849096,15.92849096,52.17972129,52.18018978
323,28.67634282,0.06980254,0.06986704,0.00486830,0.00487280,2.24023438,2.24023438,0.01164326,0.01165434,103.62500000,103.62500000,3051.42560397,3054.32784905,623.73610305,623.74306421,16.05436961,16.05436961,52.33279515,52.33324754
324,28.68685208,0.05892211,0.05889785,0.00410795,0.00410626,2.24609375,2.24609375,0.00982527,0.00982149,104.81250000,104.81250000,2576.73022463,2575.73895684,626.17741244,626.18666387,16.24900818,16.24900818,52.76894117,52.76954471
325,28.92255362,0.00983573,0.00982004,0.00068014,0.00067906,2.25000000,2.25000000,0.00162859,0.00162603,105.62500000,105.62500000,433.66186305,432.98141284,628.23155132,628.23998357,16.39645894,16.39645894,53.13197274,53.13252465
326,28.94241728,0.06791418,0.06797142,0.00469306,0.00469701,2.25000000,2.25000000,0.01123848,0.01124826,106.06250000,106.06250000,2996.42260794,2999.02893063,628.57660149,628.58448786,16.46437327,16.46437327,53.20431502,53.20483120
327,28.95354021,0.06955209,0.06951539,0.00480439,0.00480186,2.25585938,2.25585938,0.01150571,0.01149995,106.87500000,106.87500000,3069.86754827,3068.33043770,630.95559792,630.96551990,16.59049988,16.59049988,53.60543257,53.60608457
328,29.13674342,0.07392061,0.07396727,0.00507405,0.00507725,2.25976562,2.25976562,0.01216208,0.01217009,108.18750000,108.18750000,3283.32841925,3285.48986424,633.38363896,633.39230951,16.82725906,16.82725906,54.08728981,54.08786180
329,29.16598105,0.09794033,0.09781268,0.00671607,0.00670731,2.26562500,2.26562500,0.01610010,0.01607954,109.43750000,109.43750000,4354.57676983,4349.01858373,635.97025285,635.98058745,17.05507914,17.05507914,54.68052414,54.68121033
330,29.32365580,0.05590564,0.05589377,0.00381301,0.00381220,2.27148438,2.27148438,0.00914754,0.00914584,111.56250000,111.56250000,2499.08792344,2498.62461834,639.38465675,639.39058970,17.42029190,17.42029190,55.38481085,55.38520699
331,29.33559344,0.01805328,0.01805255,0.00123081,0.00123076,2.27539062,2.27539062,0.00295292,0.00295288,112.43750000,112.43750000,807.34425634,807.33343959,641.33597062,641.34152431,17.56835938,17.56835938,55.76529977,55.76567185
332,29.40293991,0.11048312,0.11048044,0.00751511,0.00751492,2.27734375,2.27734375,0.01803572,0.01803577,112.93750000,112.93750000,4952.15808604,4952.17138335,641.96508586,641.97062569,17.66946157,17.66946157,55.97770927,55.97808134
333,29.57479808,0.00498540,0.00496263,0.00033714,0.00033560,2.28515625,2.28515625,0.00080976,0.00080608,114.68750000,114.68750000,224.76525618,223.74479368,645.81059882,645.81611596,17.95492172,17.95492172,56.68155157,56.68192434
334,29.57479808,0.00498540,0.00496263,0.00033714,0.00033560,2.28515625,2.28515625,0.00080976,0.00080608,114.68750000,115.12500000,224.76525618,223.74479368,645.98459332,645.98931913,17.95492172,18.02341461,56.69330776,56.74339542
335,29.71328093,0.06659044,0.06659223,0.00448220,0.00448232,2.28515625,2.28515625,0.01077253,0.01077311,115.12500000,115.12500000,3016.27035679,3016.43285099,646.15854097,646.16247587,18.02341461,18.02341461,56.75482914,56.75509501
336,29.85605186,0.17899926,0.17896877,0.01199082,0.01198878,2.28906250,2.28906250,0.02883779,0.02883366,116.06250000,116.06250000,8146.88195777,8145.71403431,648.48834255,648.49238860,18.19379807,18.19379807,57.16052460,57.16079885
337,29.93584211,0.04848380,0.04841841,0.00323918,0.00323481,2.30273438,2.30273438,0.00779306,0.00778275,119.75000000,119.75000000,2212.56422994,2209.63984789,654.73965236,654.74276789,18.84493510,18.84493510,58.54994985,58.55016361
338,29.95597324,0.00931416,0.00930162,0.00062186,0.00062102,2.30468750,2.30468750,0.00149625,0.00149427,120.68750000,120.68750000,425.33882969,424.77756877,656.42712970,656.42800973,18.99246852,18.99246852,58.81288821,58.81294865
339,30.03857882,0.14219654,0.14217930,0.00946759,0.00946645,2.30468750,2.30468750,0.02278856,0.02278641,120.68750000,120.68750000,6511.42764804,6510.81365765,656.75103002,656.75148231,18.99246852,18.99246852,58.83513526,58.83516632
340,30.41534763,0.08880953,0.08874289,0.00583978,0.00583540,2.31445312,2.31445312,0.01408049,0.01407030,123.50000000,123.50000000,4117.75168966,4114.77288771,661.68976347,661.68974843,19.51044718,19.51044718,59.95171411,59.95171306
341,30.44915166,0.10940613,0.10931276,0.00718615,0.00718002,2.32031250,2.32031250,0.01732940,0.01731508,125.43750000,125.43750000,5078.37387807,5074.17655811,664.79402432,664.79176895,19.81653214,19.81653214,60.56747310,60.56731605
342,30.59865901,0.06023305,0.06029663,0.00393697,0.00394113,2.32812500,2.32812500,0.00950039,0.00951067,127.43750000,127.43750000,2809.60363791,2812.64520649,668.60262388,668.59724246,20.17138163,20.17138163,61.39934898,61.39897152
343,30.72733367,0.11071032,0.11082187,0.00720598,0.00721324,2.33203125,2.33203125,0.01739891,0.01741691,129.00000000,129.00000000,5185.85986859,5191.22526017,670.70043409,670.69733698,20.45806885,20.45806885,61.91111441,61.91089636
344,30.83905148,0.02276825,0.02271721,0.00147659,0.00147328,2.33984375,2.33984375,0.00356700,0.00355910,131.00000000,131.00000000,1070.38099763,1068.01044400,674.55535886,674.55625643,20.81522624,20.81522624,62.75284208,62.75290573
345,30.99949364,0.06046134,0.06043913,0.00390080,0.00389936,2.33984375,2.33984375,0.00942989,0.00942668,131.50000000,131.50000000,2857.19686183,2856.22431599,675.34829026,675.34743172,20.89467367,20.89467367,62.86601773,62.86595685
346,31.08333028,0.00452303,0.00454449,0.00029103,0.00029241,2.34375000,2.34375000,0.00070380,0.00070715,132.50000000,132.50000000,214.32126819,215.34359230,677.46033834,677.45876469,21.05356852,21.05356852,63.19755416,63.19744237
347,31.08333028,0.00452303,0.00454449,0.00029103,0.00029241,2.34570312,2.34570312,0.00070380,0.00070715,132.50000000,133.00000000,214.32126819,215.34359230,677.61849981,677.61768088,21.06704712,21.14654541,63.31071122,63.36752040
348,31.18107173,0.05792581,0.05796040,0.00371545,0.00371767,2.34570312,2.34570312,0.00898900,0.00899461,133.00000000,133.00000000,2753.41057432,2755.12907053,677.77662438,677.77655982,21.14654541,21.14654541,63.37883586,63.37883126
349,31.21127250,0.09074333,0.09069198,0.00581478,0.00581149,2.34960938,2.34960938,0.01406990,0.01406232,134.12500000,134.12500000,4317.51612569,4315.18937235,679.80479781,679.80599740,21.32541656,21.32541656,63.77243145,63.77251707
350,31.27771189,0.04634166,0.04635528,0.00296324,0.00296411,2.35546875,2.35546875,0.00717217,0.00717447,136.25000000,136.25000000,2209.60347945,2210.31244506,682.97297110,682.97246173,21.71872457,21.71872457,64.51274691,64.51271036
351,31.36674018,0.06541605,0.06534800,0.00417105,0.00416671,2.35742188,2.35742188,0.01009945,0.01008922,136.75000000,136.75000000,3127.96204353,3124.79260470,684.58869603,684.58870566,21.79842631,21.79842631,64.72577001,64.72577070
