"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
50.08272619,0.41859565,0.41847236,2.57906866,2.57907104,487.00000000,487.00000000,1021.00000000,1021.00000000,81.51203156,81.51206207,142.10079603,142.10094969
50.19629019,0.39130999,0.39068298,2.58083940,2.58083892,489.50000000,489.50000000,1022.50000000,1022.50000000,81.94290161,81.94289398,142.58053226,142.58050741
50.30985420,0.35491663,0.35230333,2.58244157,2.58242941,491.75000000,491.75000000,1024.00000000,1024.00000000,82.37126160,82.37107086,143.12935960,143.12865424
50.42341820,0.32918435,0.32042012,2.58392429,2.58387280,493.75000000,493.75000000,1026.00000000,1026.00000000,82.74760437,82.74674988,143.66441259,143.66132231
50.53698221,0.32611052,0.30289388,2.58539009,2.58523393,495.75000000,495.75000000,1027.00000000,1027.00000000,83.07356262,83.07096100,144.02715771,144.01777524
50.65054621,0.33866678,0.29057581,2.58690858,2.58653712,497.50000000,497.50000000,1029.00000000,1029.00000000,83.40055084,83.39436340,144.47473837,144.45243213
50.76411022,0.34524584,0.26884668,2.58845329,2.58773994,499.25000000,499.25000000,1030.00000000,1030.00000000,83.72813416,83.71624756,144.83918949,144.79639454
50.87767422,0.32604900,0.23723923,2.58990884,2.58879900,500.75000000,500.75000000,1031.00000000,1031.00000000,84.00407410,83.98551178,145.19379732,145.12709557
50.99123823,0.27637495,0.21114795,2.59114003,2.58973956,502.25000000,502.25000000,1032.00000000,1032.00000000,84.27634430,84.25289154,145.53398145,145.44979815
51.10480223,0.20702878,0.20005902,2.59206009,2.59062862,503.50000000,503.50000000,1033.00000000,1033.00000000,84.49317169,84.46913147,145.76776126,145.68163810
51.21836624,0.13686257,0.19300249,2.59266686,2.59148455,504.75000000,504.75000000,1034.00000000,1034.00000000,84.70478058,84.68490601,146.06685064,145.99566771
51.33193024,0.08625909,0.17559969,2.59304857,2.59226155,505.75000000,505.75000000,1035.00000000,1035.00000000,84.91265869,84.89939880,146.35207563,146.30461530
51.44549425,0.07349017,0.15648897,2.59337306,2.59295225,506.75000000,506.75000000,1036.00000000,1036.00000000,85.06923676,85.06212616,146.54676569,146.52135335
51.55905825,0.11041340,0.16518518,2.59385943,2.59367990,508.00000000,508.00000000,1036.00000000,1036.00000000,85.27893066,85.27588654,146.66646465,146.65564377
51.67262226,0.19216569,0.21933026,2.59470415,2.59464407,509.25000000,509.25000000,1038.00000000,1038.00000000,85.49472809,85.49371338,147.06404752,147.06042547
51.78618626,0.28607414,0.29643617,2.59595895,2.59594417,511.25000000,511.25000000,1039.00000000,1039.00000000,85.86873627,85.86846924,147.48802470,147.48709678
51.89975027,0.34205190,0.34512417,2.59745574,2.59745455,513.50000000,513.50000000,1041.00000000,1041.00000000,86.24701691,86.24699402,147.92464770,147.92456918
52.01331427,0.33143010,0.33213952,2.59890294,2.59890485,515.50000000,515.50000000,1042.00000000,1042.00000000,86.62465668,86.62467957,148.35633620,148.35644196
52.12687828,0.27562651,0.27575201,2.60010409,2.60010648,517.50000000,517.50000000,1044.00000000,1044.00000000,86.99822235,86.99827576,148.85869421,148.85885242
52.24044228,0.22473690,0.22474416,2.60108113,2.60108352,519.00000000,519.00000000,1045.00000000,1045.00000000,87.26720428,87.26726532,149.17384149,149.17402517
52.35400629,0.20895706,0.20895087,2.60198760,2.60198998,520.50000000,520.50000000,1046.00000000,1046.00000000,87.53507233,87.53511810,149.48379464,149.48393999
52.46757029,0.21978547,0.21977896,2.60293913,2.60294151,522.00000000,522.00000000,1047.00000000,1047.00000000,87.80377960,87.80382538,149.79551141,149.79566929
52.58113430,0.23369661,0.23368969,2.60394859,2.60395098,523.50000000,523.50000000,1048.00000000,1048.00000000,88.07359314,88.07363892,150.10984994,150.11000796
52.69469830,0.23849067,0.23848361,2.60497642,2.60497880,525.00000000,525.00000000,1049.00000000,1049.00000000,88.34380341,88.34384918,150.42436901,150.42454228
52.80826231,0.23297731,0.23297041,2.60597849,2.60598087,526.50000000,526.50000000,1050.00000000,1050.00000000,88.61366272,88.61369324,150.73642314,150.73655549
52.92182631,0.21615383,0.21614743,2.60690618,2.60690856,528.00000000,528.00000000,1051.00000000,1051.00000000,88.88230896,88.88235474,151.04297558,151.04312144
53.03539032,0.18941354,0.18940793,2.60771728,2.60771966,529.00000000,529.00000000,1052.00000000,1052.00000000,89.04798889,89.04802704,151.26001882,151.26015180
53.14895432,0.16288044,0.16287562,2.60841346,2.60841560,530.00000000,530.00000000,1053.00000000,1053.00000000,89.21169281,89.21173096,151.46975297,151.46988604
53.26251833,0.14879270,0.14878829,2.60904789,2.60905027,531.00000000,531.00000000,1054.00000000,1054.00000000,89.42488098,89.42491150,151.80645232,151.80658523
53.37608233,0.14974487,0.14974044,2.60968518,2.60968733,532.00000000,532.00000000,1054.00000000,1054.00000000,89.58762360,89.58766174,151.92148209,151.92161533
53.48964634,0.15908437,0.15903623,2.61036062,2.61036277,533.00000000,533.00000000,1055.00000000,1055.00000000,89.75107574,89.75111389,152.12907228,152.12921831
53.60321034,0.17220685,0.17196210,2.61109042,2.61109138,534.50000000,534.50000000,1056.00000000,1056.00000000,90.01660156,90.01663208,152.41986108,152.41995354
53.71677435,0.19398278,0.19282276,2.61191058,2.61190653,535.50000000,535.50000000,1057.00000000,1057.00000000,90.23326111,90.23316956,152.72112757,152.72084998
53.83033835,0.23436241,0.23010891,2.61289930,2.61287761,537.00000000,537.00000000,1058.00000000,1058.00000000,90.50347900,90.50311279,153.02622765,153.02490913
53.94390236,0.29705959,0.28523104,2.61415005,2.61407852,539.00000000,539.00000000,1060.00000000,1060.00000000,90.82903290,90.82775116,153.47796042,153.47356102
54.05746636,0.37120106,0.34671900,2.61570978,2.61553526,541.00000000,541.00000000,1061.00000000,1061.00000000,91.21077728,91.20767975,153.89459266,153.88388976
54.17103037,0.43102595,0.39461052,2.61751699,2.61718965,544.00000000,544.00000000,1063.00000000,1063.00000000,91.74894714,91.74310303,154.53361275,154.51345661
54.28459437,0.44511233,0.40953754,2.61937928,2.61890316,546.50000000,546.50000000,1065.00000000,1065.00000000,92.18717194,92.17864227,155.09626959,155.06692851
54.39815838,0.39650370,0.38151877,2.62103486,2.62049627,549.00000000,549.00000000,1067.00000000,1067.00000000,92.67257690,92.66289520,155.68243624,155.64920565
54.51172238,0.30248411,0.31795731,2.62229514,2.62182093,551.00000000,551.00000000,1069.00000000,1069.00000000,92.99916077,92.99060822,156.12887860,156.09957212
54.62528639,0.20925524,0.24521444,2.62316513,2.62284064,553.00000000,553.00000000,1070.00000000,1070.00000000,93.36946869,93.36360168,156.49279347,156.47272642
54.73885039,0.15908620,0.19573813,2.62382531,2.62365270,554.00000000,554.00000000,1071.00000000,1071.00000000,93.53342438,93.53030396,156.74078682,156.73010083
54.85241440,0.16158820,0.18618098,2.62449431,2.62442374,555.50000000,555.50000000,1072.00000000,1072.00000000,93.79890442,93.79763031,157.01562403,157.01125616
54.96597840,0.19640855,0.20827228,2.62530613,2.62528419,557.00000000,557.00000000,1073.00000000,1073.00000000,94.06705475,94.06665039,157.34629497,157.34491046
55.07954241,0.23866700,0.24292196,2.62629008,2.62628603,558.50000000,558.50000000,1074.00000000,1074.00000000,94.33841705,94.33834839,157.63883426,157.63860525
55.19310641,0.27768016,0.27883000,2.62743282,2.62743354,560.50000000,560.50000000,1075.00000000,1075.00000000,94.71416473,94.71416473,158.06118565,158.06121492
55.30667042,0.31225493,0.31248606,2.62871528,2.62871671,562.50000000,562.50000000,1077.00000000,1077.00000000,95.09261322,95.09264374,158.58768860,158.58778235
55.42023442,0.33604067,0.33607425,2.63009238,2.63009405,564.50000000,564.50000000,1079.00000000,1079.00000000,95.42223358,95.42228699,158.98598163,158.98612713
55.53379843,0.33552383,0.33545300,2.63146472,2.63146615,567.00000000,567.00000000,1080.00000000,1080.00000000,95.90414429,95.90418243,159.48916161,159.48926823
55.64736243,0.30235224,0.30196779,2.63269877,2.63269854,569.00000000,569.00000000,1082.00000000,1082.00000000,96.23145294,96.23143768,159.92485275,159.92482740
55.76092644,0.24545756,0.24359608,2.63369846,2.63369083,570.50000000,570.50000000,1083.00000000,1083.00000000,96.50375366,96.50362396,160.26085825,160.26039597
55.87449044,0.19275388,0.18564601,2.63448215,2.63444543,572.00000000,572.00000000,1084.00000000,1084.00000000,96.77214813,96.77146912,160.58273715,160.58043012
55.98805445,0.17877190,0.15785889,2.63520741,2.63508582,573.00000000,573.00000000,1085.00000000,1085.00000000,96.98874664,96.98646545,160.86576213,160.85814356
56.10161845,0.22047465,0.17366621,2.63609982,2.63578892,574.00000000,574.00000000,1086.00000000,1086.00000000,97.15771484,97.15192413,161.07474392,161.05527672
56.21518246,0.29719349,0.21903811,2.63730073,2.63667393,575.50000000,575.50000000,1087.00000000,1087.00000000,97.43408966,97.42237854,161.42112320,161.38187994
56.32874646,0.35799222,0.26496058,2.63874412,2.63774228,577.50000000,577.50000000,1088.00000000,1088.00000000,97.81670380,97.79795837,161.84988306,161.78711311
56.44231047,0.36085296,0.29253331,2.64019632,2.63891935,579.50000000,579.50000000,1090.00000000,1090.00000000,98.14885712,98.12489319,162.29439127,162.21426463
56.55587447,0.31038196,0.30380972,2.64144278,2.64013958,581.50000000,581.50000000,1091.00000000,1091.00000000,98.52809906,98.50357056,162.70795737,162.62610877
56.66943848,0.25071547,0.30900801,2.64244771,2.64137793,583.50000000,583.50000000,1093.00000000,1093.00000000,98.90295410,98.88275909,163.20637330,163.13907279
56.78300248,0.21889878,0.30931493,2.64332318,2.64261532,586.00000000,586.00000000,1094.00000000,1094.00000000,99.32633209,99.31291962,163.62629955,163.58173225
56.89656649,0.21248873,0.29506819,2.64417148,2.64379311,588.00000000,588.00000000,1096.00000000,1096.00000000,99.69846344,99.69126892,164.11241411,164.08852950
57.01013049,0.20606331,0.26013437,2.64499235,2.64482951,589.50000000,589.50000000,1097.00000000,1097.00000000,99.96841431,99.96533203,164.42848031,164.41824554
57.12369450,0.18928317,0.21616396,2.64574504,2.64568901,591.00000000,591.00000000,1098.00000000,1098.00000000,100.23716736,100.23608398,164.68796929,164.68441327
