"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
-8.18076372,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.80082775,0.64497598,0.64500525,0.26869366,0.26870585,0.00000000,0.00000000,0.00000000,0.00000000,0.44331428,0.44333753,1.00000000,1.00000000,4326.17474373,4326.40162038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.08754939,0.11916386,0.11914556,0.04684529,0.04683809,0.26879883,0.26879883,0.39697266,0.39697266,0.07811363,0.07810219,1.55761719,1.55761719,847.02767288,846.90355292,65.77366299,65.77538765,0.00022421,0.00022421,0.00030188,0.00030189
5.26509649,0.13052751,0.13050398,0.04958219,0.04957325,0.31542969,0.31542969,0.46337891,0.46337891,0.08319322,0.08317881,1.68457031,1.68457031,960.18030291,960.01393964,71.92497770,71.92569203,0.00129995,0.00129995,0.00192457,0.00192458
5.30301984,0.55555284,0.55558181,0.20952320,0.20953413,0.36523438,0.36523438,0.53173828,0.53173828,0.35201194,0.35203279,1.83007812,1.83007812,4116.16726936,4116.41100959,78.31591613,78.31551004,0.00436906,0.00436906,0.00718055,0.00718053
5.44551120,0.56144616,0.56142982,0.20620513,0.20619912,0.57470703,0.57470703,0.82031250,0.82031250,0.34809568,0.34808800,2.60351562,2.60351562,4271.60579046,4271.51162154,101.24006119,101.24095082,0.05204171,0.05204171,0.12618676,0.12618742
5.68923274,0.05320613,0.05319542,0.01870415,0.01870038,0.78076172,0.78076172,1.09960938,1.09960938,0.03182293,0.03181675,3.68750000,3.68750000,422.92151148,422.83934650,120.50375836,120.50411505,0.16411146,0.16411146,0.51852659,0.51852766
6.60859913,0.25410565,0.25412489,0.07690152,0.07690734,0.79931641,0.79931641,1.12500000,1.12500000,0.13433282,0.13434394,3.80664062,3.80664062,2346.21669687,2346.41093067,122.24597045,122.24598599,0.17793288,0.17793288,0.57309368,0.57309373
7.19923491,0.10832408,0.10832649,0.03009322,0.03009389,0.87646484,0.87646484,1.21875000,1.21875000,0.05334864,0.05335021,4.35156250,4.35156250,1089.57150921,1089.60347770,131.49256248,131.49331550,0.24302244,0.24302244,0.84749031,0.84749383
7.34671520,0.11177511,0.11178843,0.03042860,0.03043222,0.90673828,0.90673828,1.25488281,1.25488281,0.05413034,0.05413717,4.59375000,4.59375000,1147.31512847,1147.45987812,135.57236259,135.57321085,0.27290344,0.27290344,0.97941481,0.97941931
7.36659839,0.10110099,0.10109628,0.02744849,0.02744721,0.93701172,0.93701172,1.29101562,1.29101562,0.04885144,0.04884950,4.84765625,4.84765625,1040.55923570,1040.51808667,139.73968880,139.74102968,0.30376752,0.30376752,1.12019031,1.12019828
7.40680377,0.14096670,0.14094451,0.03806411,0.03805812,0.96435547,0.96435547,1.32324219,1.32324219,0.06780742,0.06779723,5.08984375,5.08984375,1458.78657404,1458.56728675,143.41457339,143.41573646,0.33473551,0.33473551,1.26234949,1.26235715
7.42522892,0.13000106,0.12999335,0.03501604,0.03501396,1.00292969,1.00292969,1.36816406,1.36816406,0.06240398,0.06240071,5.44921875,5.44921875,1348.65585192,1348.58532857,148.41336340,148.41374852,0.38082004,0.38082004,1.47719030,1.47719320
14.83442279,0.80740600,0.80747853,0.10885573,0.10886551,1.03710938,1.03710938,1.40917969,1.40917969,0.21684673,0.21686774,5.80078125,5.80078125,16734.27941915,16735.90082873,152.88944466,152.88958787,0.42663217,0.42663217,1.69067921,1.69068042
16.78771480,0.94145853,0.94149414,0.11216041,0.11216466,1.14648438,1.14648438,1.52246094,1.52246094,0.22763776,0.22764798,7.20312500,7.20312500,22081.93712431,22082.92831721,200.27346730,200.27762458,0.60854038,0.60854038,2.89728519,2.89733367
17.00136338,0.94204661,0.94199614,0.11082013,0.11081419,1.25878906,1.25878906,1.63867188,1.63867188,0.22534260,0.22533212,9.03906250,9.03906250,22376.93158987,22375.89073351,249.38203390,249.38735979,0.85835417,0.85835417,4.64767564,4.64775827
17.65447949,0.58659784,0.58654942,0.06645315,0.06644766,1.36914062,1.36914062,1.75292969,1.75292969,0.13588617,0.13587591,11.33593750,11.33593750,14469.04183758,14467.94964808,290.80634522,290.80912289,1.18025025,1.18025025,6.79025885,6.79031368
18.41915873,0.34909811,0.34899920,0.03790598,0.03789524,1.43554688,1.43554688,1.82128906,1.82128906,0.07799921,0.07797766,12.96875000,12.96875000,8983.83313632,8981.35125239,314.70203726,314.70286876,1.41819318,1.41819318,8.32403890,8.32405760
18.85060332,0.68370477,0.68364611,0.07253930,0.07253307,1.47363281,1.47363281,1.86035156,1.86035156,0.14977367,0.14976188,14.02343750,14.02343750,18006.87110898,18005.45330085,328.66579590,328.66281636,1.57204469,1.57204469,9.30805919,9.30798724
19.24471382,0.60550695,0.60544128,0.06292709,0.06292027,1.54589844,1.54589844,1.93457031,1.93457031,0.13032203,0.13030881,16.29687500,16.29687500,16280.77156018,16279.12064314,355.00433308,354.99957769,1.91144784,1.91144784,11.36543465,11.36530440
19.44253080,2.27109201,2.27117408,0.23362103,0.23362947,1.60937500,1.60937500,1.99902344,1.99902344,0.48455382,0.48457476,18.57812500,18.57812500,61692.43583211,61695.10079384,377.23844987,377.23178658,2.26027807,2.26027807,13.38310030,13.38289780
19.45424517,0.33696068,0.33698603,0.03464135,0.03464396,1.84277344,1.84277344,2.23828125,2.23828125,0.07185602,0.07186194,30.15625000,30.15625000,9158.78792212,9159.54172266,451.66501292,451.66239781,4.08918063,4.08918063,22.39141285,22.39130233
