"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
45.54467568,0.30217793,0.30217793,3.18707180,3.18707180,570.00000000,570.00000000,983.50000000,983.50000000,105.24320984,105.24320984,181.33296583,181.33296583
45.61399635,0.32894606,0.32894606,3.18807149,3.18807149,571.00000000,571.00000000,984.50000000,984.50000000,105.42301178,105.42301178,181.60266865,181.60266865
45.68331701,0.35241763,0.35241763,3.18914104,3.18914104,572.50000000,572.50000000,985.00000000,985.00000000,105.71459961,105.71459961,181.86067495,181.86067495
45.75263767,0.37037377,0.37037377,3.19026327,3.19026327,574.00000000,574.00000000,986.00000000,986.00000000,106.00699615,106.00699615,182.18886587,182.18886587
45.82195834,0.38089246,0.38089246,3.19141579,3.19141579,575.50000000,575.50000000,987.00000000,987.00000000,106.29986572,106.29986572,182.51759221,182.51759221
45.89127900,0.38264613,0.38264613,3.19257188,3.19257188,577.50000000,577.50000000,987.50000000,987.50000000,106.70372009,106.70372009,182.89685741,182.89685741
45.96059966,0.37512267,0.37512267,3.19370341,3.19370341,579.00000000,579.00000000,988.50000000,988.50000000,106.99645233,106.99645233,183.22185207,183.22185207
46.02992033,0.35872907,0.35872907,3.19478393,3.19478393,580.00000000,580.00000000,989.50000000,989.50000000,107.17765808,107.17765808,183.49299952,183.49299952
46.09924099,0.33474783,0.33474783,3.19579053,3.19579053,581.50000000,581.50000000,990.00000000,990.00000000,107.46882629,107.46882629,183.74015003,183.74015003
46.16856165,0.30515149,0.30515149,3.19670701,3.19670701,583.00000000,583.00000000,991.00000000,991.00000000,107.75878143,107.75878143,184.12146871,184.12146871
46.23788231,0.27231602,0.27231602,3.19752336,3.19752336,584.00000000,584.00000000,991.50000000,991.50000000,107.93648529,107.93648529,184.30757960,184.30757960
46.30720298,0.23869257,0.23869257,3.19823813,3.19823813,585.00000000,585.00000000,992.00000000,992.00000000,108.16826630,108.16826630,184.51211856,184.51211856
46.37652364,0.20650355,0.20650355,3.19885540,3.19885540,586.00000000,586.00000000,992.50000000,992.50000000,108.34326935,108.34326935,184.68683984,184.68683984
46.44584430,0.17751739,0.17751739,3.19938540,3.19938540,586.50000000,586.50000000,993.00000000,993.00000000,108.46157837,108.46157837,184.90355386,184.90355386
46.51516497,0.15293241,0.15293241,3.19984126,3.19984126,587.00000000,587.00000000,993.00000000,993.00000000,108.52340698,108.52340698,184.88031024,184.88031024
46.58448563,0.13337144,0.13337144,3.20023799,3.20023799,587.50000000,587.50000000,993.50000000,993.50000000,108.63990784,108.63990784,185.08999477,185.08999477
46.65380629,0.11896395,0.11896395,3.20059156,3.20059156,588.00000000,588.00000000,994.00000000,994.00000000,108.75581360,108.75581360,185.22655024,185.22655024
46.72312696,0.10948370,0.10948370,3.20091653,3.20091653,588.50000000,588.50000000,994.00000000,994.00000000,108.81582642,108.81582642,185.26696778,185.26696778
46.79244762,0.10449832,0.10449832,3.20122600,3.20122600,589.00000000,589.00000000,994.00000000,994.00000000,108.93111420,108.93111420,185.32984444,185.32984444
46.86176828,0.10346287,0.10346287,3.20153213,3.20153213,589.50000000,589.50000000,994.50000000,994.50000000,109.04636383,109.04636383,185.53460406,185.53460406
46.93108895,0.10583507,0.10583507,3.20184493,3.20184493,590.00000000,590.00000000,994.50000000,994.50000000,109.10623932,109.10623932,185.50291431,185.50291431
47.00040961,0.11111682,0.11111682,3.20217252,3.20217252,590.50000000,590.50000000,995.00000000,995.00000000,109.22183228,109.22183228,185.63741149,185.63741149
47.06973027,0.11887072,0.11887072,3.20252275,3.20252275,591.00000000,591.00000000,995.50000000,995.50000000,109.33771515,109.33771515,185.84430675,185.84430675
47.13905094,0.12875076,0.12875076,3.20290136,3.20290136,591.50000000,591.50000000,995.50000000,995.50000000,109.39851379,109.39851379,185.81549580,185.81549580
47.20837160,0.14052628,0.14052628,3.20331407,3.20331407,592.00000000,592.00000000,996.00000000,996.00000000,109.51533508,109.51533508,186.02560110,186.02560110
47.27769226,0.15410641,0.15410641,3.20376611,3.20376611,592.50000000,592.50000000,996.00000000,996.00000000,109.63268280,109.63268280,186.09450869,186.09450869
47.34701293,0.16959752,0.16959752,3.20426273,3.20426273,593.50000000,593.50000000,996.50000000,996.50000000,109.80617523,109.80617523,186.25964239,186.25964239
47.41633359,0.18734478,0.18734478,3.20481038,3.20481038,594.00000000,594.00000000,997.00000000,997.00000000,109.92489624,109.92489624,186.47650927,186.47650927
47.48565425,0.20794611,0.20794611,3.20541763,3.20541763,595.00000000,595.00000000,997.50000000,997.50000000,110.09999847,110.09999847,186.64685312,186.64685312
47.55497491,0.23223353,0.23223353,3.20609450,3.20609450,596.00000000,596.00000000,998.00000000,998.00000000,110.27610016,110.27610016,186.82037379,186.82037379
47.62429558,0.26114176,0.26114176,3.20685482,3.20685482,597.00000000,597.00000000,998.50000000,998.50000000,110.50893402,110.50893402,187.09185858,187.09185858
47.69361624,0.29553817,0.29553817,3.20771384,3.20771384,598.00000000,598.00000000,999.50000000,999.50000000,110.68765259,110.68765259,187.34636605,187.34636605
47.76293690,0.33599589,0.33599589,3.20868921,3.20868921,599.50000000,599.50000000,1000.00000000,1000.00000000,110.97915649,110.97915649,187.57696055,187.57696055
47.83225757,0.38253221,0.38253221,3.20979810,3.20979810,601.00000000,601.00000000,1001.00000000,1001.00000000,111.27261353,111.27261353,187.95871355,187.95871355
47.90157823,0.43439326,0.43439326,3.21105528,3.21105528,603.00000000,603.00000000,1002.00000000,1002.00000000,111.67935944,111.67935944,188.38891467,188.38891467
47.97089889,0.48993344,0.48993344,3.21247125,3.21247125,605.00000000,605.00000000,1003.00000000,1003.00000000,112.03292847,112.03292847,188.73188399,188.73188399
48.04021956,0.54663551,0.54663551,3.21404886,3.21404886,607.00000000,607.00000000,1004.50000000,1004.50000000,112.44446564,112.44446564,189.24875577,189.24875577
48.10954022,0.60128969,0.60128969,3.21578145,3.21578145,609.50000000,609.50000000,1006.00000000,1006.00000000,112.91397858,112.91397858,189.71782706,189.71782706
48.17886088,0.65031470,0.65031470,3.21765304,3.21765304,612.50000000,612.50000000,1007.50000000,1007.50000000,113.49685669,113.49685669,190.30332784,190.30332784
