"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.09840612,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.19581225,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.29321837,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.39062449,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.48803061,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.58543674,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000018,0.00000018,0.00000000,0.00000000,0.00000000,0.00000000
0.68284286,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000775,0.00000775,0.00000000,0.00000000,0.00000000,0.00000000
0.78024898,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00010866,0.00010866,0.00000000,0.00000000,0.00000000,0.00000000
0.87765510,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00073719,0.00073719,0.00000000,0.00000000,0.00000000,0.00000000
0.97506123,0.00000003,0.00000003,0.00000001,0.00000001,1.00000000,1.00000000,0.00318527,0.00318527,0.00000000,0.00000000,0.00000000,0.00000000
1.07246735,0.00000028,0.00000028,0.00000006,0.00000006,1.00000000,1.00000000,0.01018524,0.01018524,0.00000000,0.00000000,0.00000000,0.00000000
