"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
-4.68615108,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.55481118,0.66246663,0.66245795,0.23851995,0.23851682,0.00000000,0.00000000,0.00000000,0.00000000,0.33758986,0.33759544,1.00000000,1.00000000,4295.31816589,4295.38913208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.67408868,0.07357933,0.07353683,0.02593520,0.02592023,0.23852539,0.23852539,0.31933594,0.31933594,0.03684708,0.03682689,1.40136719,1.40136719,487.31967621,487.05265578,65.53867687,65.53921827,0.00003529,0.00003529,0.00004594,0.00004594
5.82510465,0.10393670,0.10393901,0.03568578,0.03568657,0.26440430,0.26440430,0.35351562,0.35351562,0.05093759,0.05094023,1.45410156,1.45410156,706.69930365,706.73598804,69.15661821,69.15520073,0.00016814,0.00016814,0.00023141,0.00023141
5.92794777,0.44801443,0.44800234,0.15115330,0.15114922,0.30004883,0.30004883,0.40014648,0.40014648,0.21642529,0.21642586,1.53027344,1.53027344,3099.97650952,3099.98468115,74.09006105,74.08898552,0.00074489,0.00074489,0.00111224,0.00111223
6.01041925,0.44191024,0.44189049,0.14704806,0.14704149,0.45141602,0.45117188,0.59521484,0.59521484,0.21106210,0.21105892,1.89941406,1.89941406,3100.27958514,3100.23291673,92.67855014,92.67773442,0.01486574,0.01486574,0.03143268,0.03142275
6.10230974,0.03953527,0.03957263,0.01295748,0.01296972,0.59814453,0.59814453,0.78417969,0.78417969,0.01864804,0.01866622,2.34765625,2.34765625,281.60539321,281.87989935,108.11842230,108.11750725,0.05316640,0.05316640,0.15031702,0.15031619
6.33042351,0.29969366,0.29968966,0.09468360,0.09468234,0.61132812,0.61132812,0.80078125,0.80029297,0.13714648,0.13714871,2.39062500,2.39062500,2214.48298911,2214.51903906,109.41297288,109.41332311,0.05772650,0.05772650,0.16702329,0.16702364
6.38741598,0.16278274,0.16278402,0.05096983,0.05097023,0.70605469,0.70605469,0.91894531,0.91894531,0.07394408,0.07394686,2.74218750,2.74218750,1213.65593046,1213.70146686,119.10365915,119.10413222,0.09714425,0.09714425,0.32782573,0.32782665
6.91994199,0.16364156,0.16367081,0.04729565,0.04730410,0.75683594,0.75683594,0.98242188,0.98242188,0.06957346,0.06958795,2.95312500,2.95312500,1321.77672975,1322.05210575,124.09406736,124.09470488,0.12301683,0.12301683,0.44632277,0.44632445
