,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
851,56.38379323,0.01476001,0.01476001,3.92196536,3.92196512,720.00000000,720.00000000,978.00000000,978.00000000,143.53903198,143.53903198,230.68677653,230.68675551
852,56.45004798,0.01375338,0.01375338,3.92199755,3.92199755,720.00000000,720.00000000,978.00000000,978.00000000,143.53942871,143.53942871,230.68816476,230.68816476
853,56.51630273,0.01318952,0.01318952,3.92202854,3.92202854,720.50000000,720.50000000,978.00000000,978.00000000,143.65942383,143.65942383,230.76496870,230.76496870
854,56.58255749,0.01289003,0.01289003,3.92205858,3.92205858,720.50000000,720.50000000,978.00000000,978.00000000,143.65977478,143.65977478,230.76628346,230.76628346
855,56.64881224,0.01274112,0.01274112,3.92208838,3.92208838,720.50000000,720.50000000,978.00000000,978.00000000,143.66014099,143.66014099,230.76757929,230.76757929
856,56.71506699,0.01266449,0.01266449,3.92211795,3.92211795,720.50000000,720.50000000,978.00000000,978.00000000,143.66050720,143.66050720,230.76887514,230.76887514
857,56.78132174,0.01263579,0.01263579,3.92214751,3.92214751,720.50000000,720.50000000,978.00000000,978.00000000,143.66085815,143.66085815,230.77014787,230.77014787
858,56.84757649,0.01263458,0.01263458,3.92217708,3.92217684,720.50000000,720.50000000,978.00000000,978.00000000,143.66120911,143.66120911,230.77146265,230.77146265
859,56.91383124,0.01264930,0.01264930,3.92220640,3.92220640,720.50000000,720.50000000,978.00000000,978.00000000,143.66157532,143.66157532,230.77273748,230.77273748
860,56.98008599,0.01266403,0.01266403,3.92223597,3.92223597,720.50000000,720.50000000,978.00000000,978.00000000,143.66192627,143.66192627,230.77400883,230.77400883
861,57.04634074,0.01267875,0.01267875,3.92226529,3.92226529,720.50000000,720.50000000,978.00000000,978.00000000,143.66229248,143.66229248,230.77532712,230.77532712
862,57.11259550,0.01269348,0.01269348,3.92229486,3.92229486,720.50000000,720.50000000,978.00000000,978.00000000,143.66265869,143.66265869,230.77662299,230.77662299
863,57.17885025,0.01270820,0.01270820,3.92232418,3.92232418,720.50000000,720.50000000,978.50000000,978.50000000,143.66299438,143.66299438,230.89469405,230.89469405
864,57.24510500,0.01272293,0.01272293,3.92235374,3.92235374,721.00000000,721.00000000,978.50000000,978.50000000,143.66336060,143.66336060,230.77916711,230.77916711
865,57.31135975,0.01273765,0.01273765,3.92238307,3.92238307,721.00000000,721.00000000,978.50000000,978.50000000,143.66369629,143.66369629,230.78043500,230.78043500
866,57.37761450,0.01275238,0.01275238,3.92241263,3.92241263,721.00000000,721.00000000,978.50000000,978.50000000,143.66404724,143.66404724,230.78170777,230.78170777
867,57.44386925,0.01276710,0.01276710,3.92244196,3.92244196,721.00000000,721.00000000,978.50000000,978.50000000,143.66444397,143.66444397,230.78305268,230.78305268
868,57.51012400,0.01278183,0.01278183,3.92247152,3.92247152,721.00000000,721.00000000,978.50000000,978.50000000,143.66479492,143.66479492,230.78434649,230.78434649
869,57.57637875,0.01279656,0.01279656,3.92250085,3.92250085,721.00000000,721.00000000,978.50000000,978.50000000,143.66513062,143.66513062,230.78559337,230.78559337
870,57.64263350,0.01281128,0.01281128,3.92253041,3.92253041,721.00000000,721.00000000,978.50000000,978.50000000,143.66552734,143.66552734,230.78696071,230.78696071
871,57.70888826,0.01282601,0.01282601,3.92255974,3.92255974,721.00000000,721.00000000,978.50000000,978.50000000,143.66584778,143.66584778,230.78816207,230.78816207
872,57.77514301,0.01284073,0.01284073,3.92258930,3.92258930,721.00000000,721.00000000,978.50000000,978.50000000,143.66621399,143.66621399,230.78947900,230.78947900
873,57.84139776,0.01285546,0.01285546,3.92261863,3.92261863,721.00000000,721.00000000,978.50000000,978.50000000,143.66656494,143.66656494,230.79075181,230.79075181
874,57.90765251,0.01287018,0.01287018,3.92264819,3.92264819,721.00000000,721.00000000,978.50000000,978.50000000,143.66693115,143.66693115,230.79204773,230.79204773
875,57.97390726,0.01288491,0.01288491,3.92267776,3.92267752,721.00000000,721.00000000,978.50000000,978.50000000,143.66726685,143.66726685,230.79331705,230.79331705
876,58.04016201,0.01289963,0.01289963,3.92270708,3.92270708,721.50000000,721.50000000,978.50000000,978.50000000,143.78726196,143.78726196,230.86986361,230.86986361
877,58.10641676,0.01291436,0.01291436,3.92273664,3.92273641,721.50000000,721.50000000,978.50000000,978.50000000,143.78759766,143.78762817,230.87113162,230.87118062
878,58.17267151,0.01292908,0.01292908,3.92276597,3.92276597,721.50000000,721.50000000,978.50000000,978.50000000,143.78797913,143.78797913,230.87243109,230.87243109
879,58.23892626,0.01294381,0.01294381,3.92279553,3.92279530,721.50000000,721.50000000,978.50000000,978.50000000,143.78834534,143.78833008,230.87377054,230.87370258
880,58.30518102,0.01295853,0.01295853,3.92282486,3.92282486,721.50000000,721.50000000,979.00000000,979.00000000,143.78868103,143.78868103,230.87499651,230.87499651
881,58.37143577,0.01297326,0.01297326,3.92285442,3.92285442,721.50000000,721.50000000,979.00000000,979.00000000,143.78903198,143.78903198,230.87624699,230.87624699
882,58.43769052,0.01298798,0.01298798,3.92288375,3.92288375,721.50000000,721.50000000,979.00000000,979.00000000,143.78938293,143.78938293,230.87756196,230.87756196
883,58.50394527,0.01300271,0.01300271,3.92291331,3.92291331,721.50000000,721.50000000,979.00000000,979.00000000,143.78973389,143.78973389,230.87881244,230.87881244
884,58.57020002,0.01301744,0.01301744,3.92294264,3.92294264,721.50000000,721.50000000,979.00000000,979.00000000,143.79013062,143.79013062,230.88015746,230.88015746
885,58.63645477,0.01303216,0.01303216,3.92297220,3.92297220,721.50000000,721.50000000,979.00000000,979.00000000,143.79048157,143.79048157,230.88145142,230.88145142
886,58.70270952,0.01304689,0.01304689,3.92300153,3.92300153,721.50000000,721.50000000,979.00000000,979.00000000,143.79083252,143.79083252,230.88272294,230.88272294
887,58.76896427,0.01306161,0.01306161,3.92303109,3.92303109,721.50000000,721.50000000,979.00000000,979.00000000,143.79119873,143.79119873,230.88404141,230.88404141
888,58.83521903,0.01307634,0.01307634,3.92306042,3.92306042,722.00000000,722.00000000,979.00000000,979.00000000,143.91116333,143.91116333,230.96034383,230.96034383
