"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
23.27619648,0.22558163,0.22476033,0.20442413,0.20430771,5.36718750,5.36718750,378.75000000,378.75000000,0.00000527,0.00000519,0.00000703,0.00000692
23.36537347,0.20857581,0.20782698,0.20601623,0.20589410,5.44531250,5.44531250,382.00000000,382.00000000,0.00000653,0.00000643,0.00000874,0.00000860
23.45455047,0.19080383,0.19015659,0.20746715,0.20734009,5.51562500,5.51562500,385.00000000,385.00000000,0.00000790,0.00000778,0.00001059,0.00001043
23.54372747,0.17406804,0.17354274,0.20878579,0.20865476,5.58203125,5.58203125,388.00000000,388.00000000,0.00000936,0.00000921,0.00001258,0.00001238
23.63290447,0.16009421,0.15970236,0.20999400,0.20986001,5.64453125,5.64453125,390.50000000,390.50000000,0.00001088,0.00001072,0.00001466,0.00001443
23.72208147,0.15034872,0.15009420,0.21112439,0.21098849,5.70312500,5.70312500,393.00000000,393.00000000,0.00001250,0.00001231,0.00001686,0.00001660
23.81125846,0.14596041,0.14584092,0.21221769,0.21208088,5.76171875,5.76171875,395.25000000,395.25000000,0.00001426,0.00001405,0.00001927,0.00001898
23.90043546,0.14763046,0.14763883,0.21331936,0.21318261,5.82031250,5.82031250,397.75000000,397.75000000,0.00001624,0.00001600,0.00002197,0.00002164
23.98961246,0.15558026,0.15570511,0.21447603,0.21434022,5.87890625,5.87890625,400.00000000,400.00000000,0.00001856,0.00001830,0.00002516,0.00002480
24.07878946,0.16954178,0.16976770,0.21573186,0.21559772,5.94921875,5.94921875,402.75000000,402.75000000,0.00002141,0.00002111,0.00002907,0.00002866
24.16796646,0.18876929,0.18907649,0.21712492,0.21699305,6.02343750,6.02343750,405.75000000,405.75000000,0.00002498,0.00002465,0.00003400,0.00003354
24.25714345,0.21208467,0.21244852,0.21868432,0.21855511,6.11328125,6.11328125,409.25000000,409.25000000,0.00002958,0.00002921,0.00004034,0.00003983
24.34632045,0.23799454,0.23838538,0.22042778,0.22030145,6.21093750,6.21093750,413.00000000,413.00000000,0.00003555,0.00003512,0.00004860,0.00004801
24.43549745,0.26485477,0.26523822,0.22236095,0.22223742,6.32031250,6.32031250,417.00000000,417.00000000,0.00004330,0.00004281,0.00005935,0.00005867
24.52467445,0.29106400,0.29140222,0.22447769,0.22435662,6.44531250,6.44531250,421.75000000,421.75000000,0.00005343,0.00005286,0.00007344,0.00007264
24.61385145,0.31523644,0.31549062,0.22676192,0.22664270,6.58203125,6.58203125,426.50000000,426.50000000,0.00006649,0.00006582,0.00009166,0.00009071
24.70302844,0.33635325,0.33648654,0.22919038,0.22907211,6.73046875,6.73046875,431.75000000,431.75000000,0.00008326,0.00008245,0.00011511,0.00011397
24.79220544,0.35379820,0.35378106,0.23173559,0.23161718,6.88671875,6.88671875,437.00000000,437.00000000,0.00010440,0.00010344,0.00014481,0.00014343
