"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
45.18956866,0.06411196,0.06419802,0.00283747,0.00284128,2.73242188,2.73242188,9.28906250,9.28906250,0.00748641,0.00749631,406.50000000,406.50000000,4583.80572176,4589.86774952,925.69060081,925.71016128,70.04913330,70.04913330,133.24416265,133.24601776
45.32611900,0.05460487,0.05464253,0.00240942,0.00241108,2.73437500,2.73437500,9.28906250,9.28906250,0.00635954,0.00636380,409.75000000,409.75000000,3915.87572804,3918.49828276,928.16318293,928.18595682,70.60918172,70.60918172,133.87197853,133.87413971
45.65397516,0.02295592,0.02293397,0.00100565,0.00100469,2.73828125,2.73828125,9.28906250,9.28906250,0.00265685,0.00265425,411.50000000,411.50000000,1658.14407334,1656.52591069,930.27026711,930.29439895,70.95260620,70.95260620,134.45380825,134.45610463
45.75189754,0.04054449,0.04047077,0.00177236,0.00176914,2.73828125,2.73828125,9.29687500,9.29687500,0.00468375,0.00467514,413.00000000,413.00000000,2934.87720872,2929.48288381,931.16105693,931.18429682,71.21124268,71.21124268,134.70599760,134.70820910
45.90021684,0.09049502,0.09043906,0.00394312,0.00394068,2.74023438,2.74023438,9.29687500,9.29687500,0.01042471,0.01041805,414.50000000,414.50000000,6571.86176884,6567.66723560,932.73564913,932.75595818,71.55420939,71.55420939,135.18666580,135.18860085
45.93580818,0.04139497,0.04132872,0.00180230,0.00179941,2.74414062,2.74414062,9.29687500,9.29687500,0.00476534,0.00475762,419.50000000,419.50000000,3008.48556183,3003.61048435,936.25191745,936.26991021,72.41734823,72.41734823,136.18682789,136.18854595
46.11875077,0.05097566,0.05097660,0.00221063,0.00221067,2.74609375,2.74609375,9.29687500,9.30468750,0.00584800,0.00584799,421.25000000,421.25000000,3719.54094949,3719.53574083,937.85720581,937.87256876,72.80515035,72.80515035,136.83710453,136.83857528
46.33683799,0.05098803,0.05094403,0.00220076,0.00219886,2.74804688,2.74804688,9.30468750,9.30468750,0.00582545,0.00582031,422.75000000,422.75000000,3738.03720846,3734.73705726,939.83811342,939.85344122,73.06439718,73.06439718,137.24556202,137.24703093
46.40988900,0.03188929,0.03200388,0.00137425,0.00137918,2.75000000,2.75000000,9.30468750,9.30468750,0.00363840,0.00365140,426.00000000,426.00000000,2341.55535955,2349.92238411,941.82467405,941.83821755,73.66943359,73.66943359,137.90918991,137.91048936
46.88714017,0.06817555,0.06812622,0.00290807,0.00290597,2.75195312,2.75195312,9.30468750,9.30468750,0.00770952,0.00770379,427.75000000,427.75000000,5057.44744713,5053.68718767,943.06694991,943.08491157,73.97206624,73.97206624,138.25305847,138.25478285
46.98318350,0.02058849,0.02056531,0.00087642,0.00087543,2.75390625,2.75390625,9.31250000,9.31250000,0.00232407,0.00232141,431.25000000,431.25000000,1530.43839805,1528.68525497,945.74453181,945.76045467,74.66506958,74.66506958,139.14046309,139.14199591
46.98928766,0.05498782,0.05490231,0.00234044,0.00233680,2.75585938,2.75585938,9.31250000,9.31250000,0.00620644,0.00619666,431.25000000,431.25000000,4088.03255084,4081.59395406,946.55330428,946.56828748,74.66506958,74.66506958,139.33535028,139.33679392
47.03924284,0.01686539,0.01676478,0.00071708,0.00071280,2.75781250,2.75781250,9.31250000,9.31250000,0.00190183,0.00189044,434.50000000,434.50000000,1255.17898650,1247.66634579,948.71027738,948.72183322,75.13936361,75.13936361,139.77069122,139.77180398
47.04948056,0.03420676,0.03412389,0.00145408,0.00145055,2.75781250,2.75781250,9.31250000,9.31250000,0.00385660,0.00384718,434.50000000,434.50000000,2546.33657844,2540.11729137,949.37156550,949.37915669,75.13936361,75.13936361,139.83436935,139.83510034
47.13245037,0.04224770,0.04231533,0.00179272,0.00179559,2.75976562,2.75976562,9.31250000,9.31250000,0.00475586,0.00476338,436.25000000,436.25000000,3150.44600679,3155.42669471,950.71168393,950.71599358,75.53075155,75.53075155,140.39972829,140.40014441
47.13268000,0.04318675,0.04318899,0.00183256,0.00183266,2.76171875,2.76171875,9.32031250,9.32031250,0.00486155,0.00486170,439.75000000,439.75000000,3220.48742554,3220.59064113,952.36713088,952.37404792,76.13672892,76.13672892,140.97848994,140.97915822
47.28662506,0.04215153,0.04211243,0.00178281,0.00178116,2.76367188,2.76367188,9.32031250,9.32031250,0.00473156,0.00472708,441.25000000,441.25000000,3153.55653338,3150.56845877,954.05641311,954.06337200,76.48620605,76.48620605,141.47837422,141.47904738
47.37237816,0.02382730,0.02378394,0.00100596,0.00100413,2.76562500,2.76562500,9.32031250,9.32031250,0.00267043,0.00266552,443.00000000,443.00000000,1785.86663824,1782.58137447,955.70769377,955.71307737,76.78955078,76.78955078,142.02467338,142.02519537
47.44782675,0.04938516,0.04943375,0.00208166,0.00208371,2.76562500,2.76757812,9.32031250,9.32031250,0.00552715,0.00553247,444.75000000,444.75000000,3707.33427906,3710.90809859,956.64155386,956.64521513,77.09289551,77.13813782,142.31020569,142.42293286
47.73040536,0.03565666,0.03557557,0.00149409,0.00149069,2.76953125,2.76953125,9.32031250,9.32031250,0.00397009,0.00396098,446.50000000,446.50000000,2692.68041295,2686.50273735,958.57727745,958.58279545,77.44166056,77.44166056,142.83429776,142.83483372
48.06077669,0.02465505,0.02460773,0.00102599,0.00102403,2.76953125,2.76953125,9.32812500,9.32812500,0.00272870,0.00272341,448.25000000,448.25000000,1874.75969316,1871.12472079,959.98076921,959.98306155,77.74518331,77.74518331,143.16552091,143.16574356
48.14616254,0.03980646,0.03986309,0.00165357,0.00165592,2.77148438,2.77148438,9.32812500,9.32812500,0.00439878,0.00440495,450.00000000,450.00000000,3032.24475258,3036.49796617,960.95673001,960.95712869,78.14025879,78.14025879,143.67409207,143.67413088
48.28152433,0.03775495,0.03770807,0.00156395,0.00156201,2.77343750,2.77343750,9.32812500,9.32812500,0.00416190,0.00415665,451.75000000,451.75000000,2884.05706836,2880.41901332,962.53315876,962.53576617,78.44413757,78.44413757,144.05117407,144.05142803
48.37983308,0.05012193,0.05012225,0.00207202,0.00207203,2.77343750,2.77539062,9.32812500,9.32812500,0.00551538,0.00551531,453.50000000,453.50000000,3836.55231631,3836.50025802,964.03015449,964.03087096,78.74801636,78.84028117,144.39183916,144.58972074
48.54119474,0.05415888,0.05406065,0.00223146,0.00222741,2.77734375,2.77734375,9.32812500,9.32812500,0.00594235,0.00593145,457.25000000,457.25000000,4159.38463941,4151.75834165,966.01795588,966.01864393,79.49221293,79.49221293,145.34789345,145.34796068
48.75643783,0.04638645,0.04627399,0.00190278,0.00189817,2.77929688,2.77929688,9.33593750,9.33593750,0.00506997,0.00505758,459.00000000,459.00000000,3578.26137570,3569.51559611,968.16841290,968.16516089,79.79644775,79.79644775,145.80343003,145.80311197
48.76587117,0.01894685,0.01898651,0.00077705,0.00077868,2.78125000,2.78125000,9.33593750,9.33593750,0.00207051,0.00207481,460.75000000,460.75000000,1461.84716376,1464.87821267,970.01460665,970.00685274,80.10068258,80.10068258,146.20730270,146.20654391
48.85534167,0.07300721,0.07289847,0.00298871,0.00298426,2.78125000,2.78125000,9.33593750,9.33593750,0.00796551,0.00795349,462.50000000,462.50000000,5643.21727327,5634.70025971,970.76783232,970.76164560,80.40491740,80.40491740,146.47579180,146.47518637
48.89188095,0.01923972,0.01924646,0.00078703,0.00078731,2.78515625,2.78515625,9.33593750,9.33593750,0.00209780,0.00209849,466.25000000,466.25000000,1488.27928354,1488.77095482,973.67006812,973.65952613,81.10427856,81.10427856,147.31983559,147.31880218
48.90748487,0.02996514,0.02985415,0.00122538,0.00122084,2.78515625,2.78515625,9.34375000,9.34375000,0.00326633,0.00325417,466.25000000,466.25000000,2318.67920517,2310.04487191,974.43403103,974.42374960,81.10427856,81.10427856,147.39472516,147.39371729
48.94674930,0.04120492,0.04121960,0.00168366,0.00168426,2.78710938,2.78710938,9.34375000,9.34375000,0.00448838,0.00448989,468.00000000,468.00000000,3190.96419394,3192.03773633,975.62306247,975.60836848,81.40869141,81.40869141,147.90110150,147.89965773
49.00078314,0.05028198,0.05035659,0.00205229,0.00205534,2.78710938,2.78906250,9.34375000,9.34375000,0.00547187,0.00547988,469.75000000,469.75000000,3898.20232761,3903.90891930,977.25704102,977.24292087,81.71310425,81.71310425,148.25624573,148.25795368
49.29158630,0.03584982,0.03595870,0.00145460,0.00145902,2.79101562,2.79101562,9.34375000,9.34375000,0.00388125,0.00389296,473.50000000,473.50000000,2795.81680196,2804.25290095,979.24947105,979.23829343,82.36541748,82.36541748,148.90010646,148.89900750
49.33504248,0.04816989,0.04819724,0.00195277,0.00195387,2.79101562,2.79101562,9.34375000,9.34375000,0.00521107,0.00521392,475.25000000,475.25000000,3759.93365861,3761.99298347,980.67596246,980.66910230,82.66983032,82.66983032,149.23484404,149.23416956
49.45347467,0.02808494,0.02812621,0.00113581,0.00113748,2.79296875,2.79296875,9.35156250,9.35156250,0.00303192,0.00303631,477.25000000,477.25000000,2197.45127391,2200.63644934,982.59110367,982.58530479,83.11482747,83.11482747,149.89526936,149.89469771
49.80262675,0.04217890,0.04215546,0.00169384,0.00169290,2.79492188,2.79492188,9.35156250,9.35156250,0.00452560,0.00452300,479.00000000,479.00000000,3323.50648998,3321.59326328,983.70866027,983.70448695,83.41959635,83.41959635,150.22776338,150.22735174
49.85149961,0.05687363,0.05678197,0.00228172,0.00227804,2.79687500,2.79687500,9.35156250,9.35156250,0.00609707,0.00608712,481.00000000,481.00000000,4485.78170952,4478.46305915,985.39648608,985.39134911,83.76790365,83.76790365,150.76634435,150.76583697
