"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11381573,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22663147,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.33944720,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.45226293,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.56507867,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00001067,0.00001067,0.00000000,0.00000000,0.00000000,0.00000000
0.67789440,0.00000001,0.00000001,0.00000000,0.00000000,1.00000000,1.00000000,0.00092936,0.00092936,0.00000000,0.00000000,0.00000000,0.00000000
0.79071013,0.00000130,0.00000130,0.00000037,0.00000037,1.00000000,1.00000000,0.01360321,0.01360321,0.00000000,0.00000000,0.00000000,0.00000000
0.90352587,0.00003385,0.00003387,0.00000883,0.00000883,1.00000000,1.00000000,0.07513428,0.07513428,0.00000000,0.00000000,0.00000000,0.00000000
1.01634160,0.00026596,0.00026627,0.00006787,0.00006794,1.00000000,1.00000000,0.23229980,0.23229980,0.00000000,0.00000000,0.00000000,0.00000000
1.12915734,0.00095963,0.00096157,0.00025963,0.00026009,1.00000000,1.00000000,0.49780273,0.49780273,0.00000000,0.00000000,0.00000000,0.00000000
1.24197307,0.00211374,0.00212134,0.00064363,0.00064548,1.00097656,1.00097656,0.84716797,0.84716797,0.00000000,0.00000000,0.00000000,0.00000000
1.35478880,0.00365815,0.00367894,0.00125288,0.00125818,1.00195312,1.00195312,1.26757812,1.26757812,0.00000000,0.00000000,0.00000000,0.00000000
1.46760454,0.00607002,0.00611139,0.00218609,0.00219775,1.00292969,1.00292969,1.79101562,1.79101562,0.00000000,0.00000000,0.00000000,0.00000000
1.58042027,0.01022940,0.01028548,0.00364651,0.00366618,1.00488281,1.00488281,2.47070312,2.47070312,0.00000000,0.00000000,0.00000000,0.00000000
1.69323600,0.01712227,0.01715426,0.00592813,0.00595206,1.00878906,1.00878906,3.36132812,3.36132812,0.00000000,0.00000000,0.00000000,0.00000000
1.80605174,0.02876166,0.02870076,0.00952134,0.00953767,1.01464844,1.01464844,4.53125000,4.53125000,0.00000000,0.00000000,0.00000000,0.00000000
1.91886747,0.04936297,0.04917119,0.01532573,0.01531950,1.02343750,1.02343750,6.11328125,6.11328125,0.00000000,0.00000000,0.00000000,0.00000000
