freqs, THz	a2f (lambda), THz	a2f (gamma), THz	lambda (lambda)	lambda (gamma)	wlog (lambda), K	wlog (gamma), K	w2 (lambda), K	w2 (gamma), K	Tc_McM (lambda), K	Tc_McM (gamma), K	Tc_AD (lambda), K	Tc_AD (gamma), K
0.001000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000
0.080340568247	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	1.000000000000	0.000000000000	0.000000000000	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.159681136495	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	1.000000000000	0.000000000000	0.000000000000	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.239021704742	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	1.000000000000	0.000000000000	0.000000000000	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.318362272989	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	1.000000000000	0.000000000000	0.000000000000	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.397702841236	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	1.000000000000	0.000000000000	0.000000000000	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.477043409484	0.000000000158	0.000000000158	0.000000000052	0.000000000052	1.000000000000	1.000000000000	0.000092923641	0.000092923641	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.556383977731	0.000000000975	0.000000000975	0.000000000331	0.000000000331	1.000000000000	1.000000000000	0.000266313553	0.000266313553	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.635724545978	0.000000002753	0.000000002753	0.000000001018	0.000000001018	1.000000000000	1.000000000000	0.000521183014	0.000521183014	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.715065114225	0.000000006444	0.000000006444	0.000000002448	0.000000002448	1.000000000000	1.000000000000	0.000894546509	0.000894546509	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.794405682473	0.000000013794	0.000000013794	0.000000005203	0.000000005203	1.000000000000	1.000000000000	0.001434326172	0.001434326172	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.873746250720	0.000000027847	0.000000027847	0.000000010260	0.000000010260	1.000000000000	1.000000000000	0.002201080322	0.002201080322	0.184570312500	0.184570312500	0.269531250000	0.269531250000
0.953086818967	0.000000053666	0.000000053666	0.000000019195	0.000000019195	1.000000000000	1.000000000000	0.003273010254	0.003273010254	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.032427387214	0.000000099261	0.000000099261	0.000000034452	0.000000034452	1.000000000000	1.000000000000	0.004741668701	0.004741668701	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.111767955462	0.000000176671	0.000000176671	0.000000059668	0.000000059668	1.000000000000	1.000000000000	0.006710052490	0.006710052490	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.191108523709	0.000000303036	0.000000303036	0.000000100038	0.000000100038	1.000000000000	1.000000000000	0.009292602539	0.009292602539	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.270449091956	0.000000501400	0.000000501400	0.000000162664	0.000000162664	1.000000000000	1.000000000000	0.012626647949	0.012626647949	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.349789660204	0.000000800869	0.000000800869	0.000000256814	0.000000256814	1.000000000000	1.000000000000	0.016830444336	0.016830444336	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.429130228451	0.000001235725	0.000001235725	0.000000394021	0.000000394021	1.000000000000	1.000000000000	0.022048950195	0.022048950195	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.508470796698	0.000001843183	0.000001843183	0.000000587912	0.000000587912	1.000000000000	1.000000000000	0.028366088867	0.028366088867	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.587811364945	0.000002790680	0.000002790680	0.000000866804	0.000000866804	1.000000000000	1.000000000000	0.036224365234	0.036224365234	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.667151933193	0.000004202195	0.000004202195	0.000001266773	0.000001266773	1.000000000000	1.000000000000	0.046020507812	0.046020507812	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.746492501440	0.000006273120	0.000006273120	0.000001836730	0.000001836730	1.000000000000	1.000000000000	0.058074951172	0.058074951172	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.825833069687	0.000009390532	0.000009390532	0.000002652851	0.000002652851	1.000000000000	1.000000000000	0.073059082031	0.073059082031	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.905173637934	0.000014845158	0.000014845158	0.000003889298	0.000003889298	1.000000000000	1.000000000000	0.092651367188	0.092651367188	0.184570312500	0.184570312500	0.269531250000	0.269531250000
1.984514206182	0.000029934223	0.000029934223	0.000006282829	0.000006282829	1.000000000000	1.000000000000	0.124084472656	0.124084472656	0.184570312500	0.184570312500	0.269531250000	0.269531250000
2.063854774429	0.000051634236	0.000051634236	0.000010252769	0.000010252769	1.000000000000	1.000000000000	0.166137695312	0.166137695312	0.184570312500	0.184570312500	0.269531250000	0.269531250000
2.143195342676	0.000090315127	0.000090315127	0.000016939657	0.000016939657	1.000000000000	1.000000000000	0.223266601562	0.223266601562	0.184570312500	0.184570312500	0.269531250000	0.269531250000
2.222535910923	0.000158135520	0.000158135520	0.000028229968	0.000028229968	1.000000000000	1.000000000000	0.300292968750	0.300292968750	0.184570312500	0.184570312500	0.269531250000	0.269531250000
