freqs, THz	a2f (lambda), THz	a2f (gamma), THz	lambdas (lambda)	lambdas (gamma)	lambda (lambda)	lambda (gamma)	wlogs (lambda), K	wlogs (gamma), K	wlog (lambda), K	wlog (gamma), K	w2s (lambda), K	w2s (gamma), K	w2 (lambda), K	w2 (gamma), K	Tc_McM (lambda), K	Tc_McM (gamma), K	Tc_AD (lambda), K	Tc_AD (gamma), K
29.864895761490	0.020397134442	0.020445915229	0.001365960531	0.001369227296	2.339843750000	2.339843750000	0.003118171385	0.003125532946	123.062500000000	123.062500000000	881.391649977312	883.472490691147	721.111060326742	721.107341212610	22.711686837464	22.711686837464	33.477667992910	33.478346442784
30.325881801611	0.119887035514	0.119939376769	0.007906581995	0.007910033914	2.339843750000	2.339843750000	0.018086935336	0.018094277821	123.500000000000	123.500000000000	5260.468561692707	5262.604076197495	721.721936049845	721.719661670244	22.792429248770	22.792429248770	33.596684588111	33.597365449944
30.370318016828	0.296621281276	0.296779340651	0.019533630245	0.019544039051	2.349609375000	2.349609375000	0.044693716848	0.044716163376	125.437500000000	125.437500000000	13034.381144102152	13040.927402103918	725.357168253839	725.356377319183	23.150002784556	23.150002784556	34.123758081143	34.124449624513
30.429489075293	0.191875401492	0.191805595970	0.012611148417	0.012606560399	2.369140625000	2.369140625000	0.028862515261	0.028851131454	131.500000000000	131.500000000000	8447.977181290964	8444.645172913533	734.287002936407	734.290679172569	24.268861912658	24.268861912658	35.772988043211	35.773713009455
30.435286059305	0.191589517539	0.191606047305	0.012589960033	0.012591046257	2.380859375000	2.380859375000	0.028814775723	0.028816379403	135.125000000000	135.125000000000	8436.997140892783	8437.466700207531	740.017148357132	740.018544830213	24.937870463483	24.937870463483	36.759125546304	36.759870497358
30.453967595668	0.157864828515	0.158019488978	0.010367439186	0.010377596186	2.392578125000	2.392578125000	0.023730066761	0.023752587835	139.375000000000	139.375000000000	6956.135507631908	6962.737243960210	745.695901157781	745.697601841949	25.722225316173	25.722225316173	37.915286756826	37.916055138348
30.736032507664	0.117360992241	0.117248899019	0.007636704068	0.007629410139	2.404296875000	2.404296875000	0.017501792056	0.017484540450	142.750000000000	142.750000000000	5219.277036841210	5214.132368725856	750.345595383318	750.351684636474	26.345095346251	26.345095346251	38.833414776946	38.834201765017
30.833698980067	0.107866306446	0.107982923734	0.006996650419	0.007004214694	2.412109375000	2.412109375000	0.016041889708	0.016058741318	145.000000000000	145.000000000000	4812.272438933631	4817.327612620063	753.815487734225	753.818136559157	26.760342032969	26.760342032969	39.445500123693	39.446299516129
30.844455694200	0.169614948520	0.169884541204	0.010998083429	0.011015564216	2.417968750000	2.417968750000	0.025217562863	0.025256871274	147.250000000000	147.250000000000	7569.723316820932	7581.522783456750	757.000701444141	757.006678053860	27.175588719688	27.175588719688	40.057585470440	40.058397267241
30.868394780428	0.027907448327	0.027918868375	0.001808156759	0.001808896677	2.429687500000	2.429687500000	0.004146372681	0.004147942412	151.375000000000	151.375000000000	1246.444499121804	1246.916377322968	761.984110926036	761.997790942728	27.936874312005	27.936874312005	41.179741939476	41.180576477614
31.175500213405	0.158888122596	0.158845785860	0.010193140223	0.010190424197	2.431640625000	2.431640625000	0.023406083461	0.023399130270	151.875000000000	151.875000000000	7167.102806461006	7164.973691985128	762.801566465922	762.815541123095	28.029151353498	28.029151353498	41.315760905420	41.316598200083
31.312002110093	0.455429970556	0.455710565444	0.029089801984	0.029107724498	2.441406250000	2.441406250000	0.066837620074	0.066876751591	155.500000000000	155.500000000000	20633.419817191505	20645.500094867693	767.485069958579	767.497572289909	28.698159904322	28.698159904322	42.301898408512	42.302755687987
32.071572221238	0.232607836413	0.232803870624	0.014505546208	0.014517771004	2.470703125000	2.470703125000	0.033437591453	0.033464746845	166.250000000000	166.250000000000	10794.023579297875	10802.789639566645	780.811598547637	780.831623056964	30.682116296422	30.682116296422	45.226306176303	45.227222721079
32.448433814211	0.070380691078	0.070337801689	0.004338002350	0.004335358809	2.484375000000	2.484375000000	0.010015702998	0.010009293025	172.125000000000	172.125000000000	3304.349959347266	3302.235200817933	787.693326114811	787.718739909962	31.766371533965	31.766371533965	46.824529026142	46.825477960094
32.785549496912	0.075036797061	0.074998374862	0.004577431107	0.004575087257	2.490234375000	2.490234375000	0.010583363085	0.010577620037	173.500000000000	173.500000000000	3559.553502550922	3557.621915674638	789.788025969729	789.812033591637	32.020133398070	32.020133398070	47.198581182488	47.199537696885
32.834798993455	0.194067526115	0.193863067472	0.011820844474	0.011808390696	2.494140625000	2.494140625000	0.027336249761	0.027306613682	175.500000000000	175.500000000000	9219.895566282838	9209.899990624208	792.038306818371	792.061026892393	32.389241564042	32.389241564042	47.742657046263	47.743624586763
33.006495164425	0.057125706568	0.057096685697	0.003461482734	0.003459724240	2.505859375000	2.505859375000	0.008010509440	0.008006194806	180.375000000000	180.375000000000	2728.159550908311	2726.690104960714	797.837436470610	797.853727391466	33.288942718599	33.288942718599	49.068841964215	49.069836380840
33.155030868467	0.080930065423	0.081095095599	0.004881917664	0.004891872725	2.509765625000	2.509765625000	0.011304542926	0.011327247967	181.875000000000	181.875000000000	3882.380510866941	3890.178226228516	799.545329912509	799.560667127527	33.565773843078	33.565773843078	49.476898862046	49.477901548248
33.312002532696	0.041206611615	0.041244522180	0.002473979856	0.002476255946	2.513671875000	2.513671875000	0.005732405104	0.005737503298	184.000000000000	184.000000000000	1986.124255775376	1987.890643110590	801.969522547940	801.989674898402	33.957951269423	33.957951269423	50.054979467307	50.055993868743
33.345937303743	0.333597557565	0.333503788248	0.020008287938	0.020002663905	2.515625000000	2.517578125000	0.046367169088	0.046352716623	184.750000000000	184.750000000000	16095.503309666792	16090.486404214063	803.206847176707	803.228068039679	34.096366831663	34.096366831663	50.259007916223	50.260026452447
33.422124083200	0.022653515655	0.022666932594	0.001355599997	0.001356402875	2.537109375000	2.537109375000	0.003142436609	0.003144201495	193.625000000000	193.625000000000	1095.490026890795	1096.105286654758	813.164646711361	813.182522986672	35.734284318163	35.734284318163	52.673344561725	52.674412026279
33.566886215816	0.034136920634	0.034105961542	0.002033964093	0.002032119472	2.537109375000	2.537109375000	0.004717723696	0.004713300825	194.375000000000	194.375000000000	1657.960459832123	1656.406120032198	813.837964639217	813.856204115705	35.872699880403	35.872699880403	52.877373010640	52.878444609983
