"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
2.69857932,0.05881775,0.05881836,0.01785350,0.01785366,1.02148438,1.02148438,7.84765625,7.84765625,0.00000000,0.00000000,0.00000000,0.00000000
2.77791989,0.07218777,0.07218863,0.02197703,0.02197724,1.02636719,1.02636719,8.93750000,8.93750000,0.00000000,0.00000000,0.00000000,0.00000000
2.85726046,0.08868282,0.08868411,0.02690213,0.02690241,1.03320312,1.03320312,10.14843750,10.14843750,0.00000000,0.00000000,0.00000000,0.00000000
2.93660103,0.10873332,0.10873536,0.03277760,0.03277800,1.04003906,1.04003906,11.49218750,11.49218750,0.00000000,0.00000000,0.00000000,0.00000000
3.01594159,0.13245045,0.13245377,0.03974637,0.03974694,1.04980469,1.04980469,12.98437500,12.98437500,0.00000000,0.00000000,0.00000000,0.00000000
3.09528216,0.15945579,0.15946131,0.04792095,0.04792180,1.06054688,1.06054688,14.61718750,14.61718750,0.00000000,0.00000000,0.00000000,0.00000000
3.17462273,0.18876562,0.18877481,0.05735626,0.05735757,1.07324219,1.07324219,16.37500000,16.37500000,0.00000000,0.00000000,0.00000000,0.00000000
3.25396330,0.21878112,0.21879627,0.06802522,0.06802727,1.08691406,1.08691406,18.26562500,18.26562500,0.00000000,0.00000000,0.00000000,0.00000000
3.33330387,0.24742230,0.24744675,0.07980371,0.07980692,1.10351562,1.10351562,20.21875000,20.21875000,0.00000000,0.00000000,0.00000000,0.00000000
3.41264443,0.27240777,0.27244615,0.09247012,0.09247512,1.12207031,1.12207031,22.21875000,22.21875000,0.00000000,0.00000000,0.00000000,0.00000000
3.49198500,0.29163873,0.29169707,0.10572263,0.10573028,1.14062500,1.14062500,24.21875000,24.21875000,0.00000000,0.00000000,0.00000000,0.00000000
3.57132557,0.30360495,0.30369053,0.11921240,0.11922386,1.16113281,1.16113281,26.18750000,26.18750000,0.00000000,0.00000000,0.00000000,0.00000000
3.65066614,0.30771125,0.30783211,0.13258749,0.13260420,1.18066406,1.18066406,28.07812500,28.07812500,0.00000000,0.00000000,0.00000000,0.00000000
3.73000671,0.30443306,0.30459711,0.14553861,0.14556231,1.20117188,1.20117188,29.85937500,29.85937500,0.00000000,0.00000000,0.00000000,0.00000000
3.80934728,0.29525569,0.29546935,0.15783770,0.15787029,1.22070312,1.22070312,31.53125000,31.53125000,0.00000000,0.00000000,0.00000000,0.00000000
3.88868784,0.28240744,0.28267394,0.16936158,0.16940504,1.23925781,1.23925781,33.09375000,33.09375000,0.00000000,0.00000000,0.00000000,0.00000000
3.96802841,0.26844788,0.26876560,0.18009679,0.18015295,1.25683594,1.25683594,34.53125000,34.53125000,0.00000002,0.00000002,0.00000002,0.00000002
4.04736898,0.25582364,0.25618460,0.19012661,0.19019693,1.27343750,1.27343750,35.87500000,35.87500000,0.00000015,0.00000015,0.00000016,0.00000016
4.12670955,0.24648893,0.24687810,0.19960466,0.19968994,1.28906250,1.28906250,37.15625000,37.15625000,0.00000066,0.00000067,0.00000075,0.00000076
4.20605012,0.24166778,0.24206337,0.20872203,0.20882224,1.30468750,1.30468750,38.37500000,38.37500000,0.00000217,0.00000220,0.00000249,0.00000252
4.28539069,0.24178677,0.24216170,0.21767500,0.21778908,1.32031250,1.32031250,39.59375000,39.59375000,0.00000578,0.00000585,0.00000671,0.00000679
4.36473125,0.24656026,0.24688477,0.22663878,0.22676466,1.33691406,1.33691406,40.81250000,40.81250000,0.00001337,0.00001351,0.00001575,0.00001592
4.44407182,0.25517776,0.25542281,0.23575021,0.23588485,1.35253906,1.35253906,42.06250000,42.06250000,0.00002781,0.00002809,0.00003326,0.00003360
4.52341239,0.26653160,0.26667243,0.24510014,0.24523970,1.37011719,1.37011719,43.34375000,43.34375000,0.00005351,0.00005398,0.00006504,0.00006563
4.60275296,0.27943062,0.27944998,0.25473359,0.25487381,1.38769531,1.38769531,44.68750000,44.68750000,0.00009642,0.00009718,0.00011924,0.00012020
4.68209353,0.29276573,0.29265611,0.26465571,0.26479226,1.40625000,1.40625000,46.06250000,46.06250000,0.00016438,0.00016548,0.00020707,0.00020851
4.76143409,0.30561490,0.30537947,0.27484074,0.27496943,1.42675781,1.42675781,47.50000000,47.50000000,0.00026673,0.00026822,0.00034260,0.00034459
